FILM_FLAG,CATEGORY,NOMINEE,PERSON_FLAG,RELATED_FILM_SHOW,TWITTER_SCREEN_NAME,MOVIE_RELEASE_DATE,OFFICIAL_MOVIE_HASTAG,ACTOR_BIRTHDATE,ACTOR_AGE
1,Best Motion Picture – Comedy or Musical,The Big Short,0,The Big Short,thebigshort,12/11/2015,TheBigShort,,
1,Best Motion Picture – Foreign Language,Son of Saul,0,Son of Saul,sonofsaulfilm,12/18/2015,SonOfSaul,,
1,Best Motion Picture – Drama,The Revenant,0,The Revenant,RevenantMovie,12/25/2015,TheRevenant,,
1,Best Motion Picture – Comedy or Musical,Joy,0,Joy,JoyTheMovie,12/25/2015,JoyMovie,,
1,Best Animated Feature Film,Anomalisa,0,Anomalisa,Anomalisamovie,12/30/2015,Anomalisa,,
1,Best Motion Picture – Foreign Language,The Club,0,The Club,,2/5/2016,,,
0,Best TV Series – Drama,Empire,0,Empire,EmpireFOX,,,,
0,Best TV Series – Drama,Game of Thrones,0,Game of Thrones,GameofThrones,,,,
0,Best TV Series – Drama,Mr. Robot,0,Mr. Robot,whoismrrobot,,,,
0,Best TV Series – Drama,Narcos,0,Narcos,NarcosNetflix,,,,
0,Best TV Series – Drama,Outlander,0,Outlander,Outlander_Starz,,,,
0,Best TV Series – Comedy,Casual,0,Casual,CasualOnHulu,,,,
0,Best TV Series – Comedy,Mozart in the Jungle,0,Mozart in the Jungle,MITJAmazon,,,,
0,Best TV Series – Comedy,Orange Is the New Black,0,Orange Is the New Black,OINTB,,,,
0,Best TV Series – Comedy,Silicon Valley,0,Silicon Valley,SiliconHBO,,,,
0,Best TV Series – Comedy,Transparent,0,Transparent,transparent_tv,,,,
0,Best TV Series – Comedy,Veep,0,Veep,VeepHBO,,,,
0,Best TV Movie or Limited-Series,American Crime,0,American Crime,AmericanCrimeTV,,,,
0,Best TV Movie or Limited-Series,American Horror Story: Hotel,0,American Horror Story: Hotel,AHSFX,,,,
0,Best TV Movie or Limited-Series,Fargo,0,Fargo,FargoFX,,,,
0,Best TV Movie or Limited-Series,Flesh and Bone,0,Flesh and Bone,FleshAndBoneSTZ,,,,
0,Best TV Movie or Limited-Series,Wolf Hall,0,Wolf Hall,wolfhalldrama,,,,
0,Best Actor in a TV Series – Drama,Jon Hamm,1,Mad Men,,,,,
0,Best Actor in a TV Series – Drama,Rami Malek,1,Mr. Robot,ItsRamiMalek,,,,
0,Best Actor in a TV Series – Drama,Wagner Moura,1,Narcos,,,,,
0,Best Actor in a TV Series – Drama,Bob Odenkirk,1,Better Call Saul,mrbobodenkirk,,,,
0,Best Actor in a TV Series – Drama,Liev Schreiber,1,Ray Donovan,LievSchreiber,,,,
0,Best Actress in a TV Series – Drama,Caitriona Balfe,1,Outlander,caitrionambalfe,,,,
0,Best Actress in a TV Series – Drama,Viola Davis,1,How to Get Away With Murder,violadavis,,,,
0,Best Actress in a TV Series – Drama,Eva Green,1,Penny Dreadful,,,,,
0,Best Actress in a TV Series – Drama,Taraji P. Henson,1,Empire,TherealTaraji,,,,
0,Best Actress in a TV Series – Drama,Robin Wright,1,House of Cards,realrobinwright,,,,
0,Best Actor in a TV Series – Comedy,Aziz Ansari,1,Master of None,azizansari,,,,
0,Best Actor in a TV Series – Comedy,Gael Garcia Bernal,1,Mozart in the Jungle,,,,,
0,Best Actor in a TV Series – Comedy,Rob Lowe,1,The Grinder,RobLowe,,,,
0,Best Actor in a TV Series – Comedy,Patrick Stewart,1,Blunt Talk,SirPatStew,,,,
0,Best Actor in a TV Series – Comedy,Jeffrey Tambor,1,Transparent,jeffreytambor,,,,
0,Best Actress in a TV Series – Comedy,Rachel Bloom,1,Crazy Ex Girlfriend,Racheldoesstuff,,,,
0,Best Actress in a TV Series – Comedy,Jamie Lee Curtis,1,Scream Queens,jamieleecurtis,,,,
0,Best Actress in a TV Series – Comedy,Julia Louis-Dreyfus,1,Veep,OfficialJLD,,,,
0,Best Actress in a TV Series – Comedy,Gina Rodriguez,1,Jane the Virgin,HereIsGina,,,,
0,Best Actress in a TV Series – Comedy,Lily Tomlin,1,Grace & Frankie,LilyTomlin,,,,
0,Best Actor in a Limited-Series or TV Movie,Idris Elba,1,Luther,idriselba,,,,
0,Best Actor in a Limited-Series or TV Movie,Oscar Isaac,1,Show Me a Hero,,,,,
0,Best Actor in a Limited-Series or TV Movie,David Oyelowo,1,Nightingale,,,,,
0,Best Actor in a Limited-Series or TV Movie,Mark Rylance,1,Wolf Hall,,,,,
0,Best Actor in a Limited-Series or TV Movie,Patrick Wilson,1,Fargo,patrickwilson73,,,,
0,Best Actress in a Limited-Series or TV Movie,Kirsten Dunst,1,Fargo,kirstendunst,,,,
0,Best Actress in a Limited-Series or TV Movie,Lady Gaga,1,American Horror Story: Hotel,ladygaga,,,,
0,Best Actress in a Limited-Series or TV Movie,Sarah Hay,1,Flesh & Bone,SarahEllenHay,,,,
0,Best Actress in a Limited-Series or TV Movie,Felicity Huffman,1,American Crime,FelicityHuffman,,,,
0,Best Actress in a Limited-Series or TV Movie,Queen Latifah,1,Bessie,IAMQUEENLATIFAH,,,,
0,"Best Supporting Actor in a Series, Limited-Series or TV Movie",Alan Cumming,1,The Good Wife,Alancumming,,,,
0,"Best Supporting Actor in a Series, Limited-Series or TV Movie",Damian Lewis,1,Wolf Hall,,,,,
0,"Best Supporting Actor in a Series, Limited-Series or TV Movie",Ben Mendelsohn,1,Bloodline,,,,,
0,"Best Supporting Actor in a Series, Limited-Series or TV Movie",Tobias Menzies,1,Outlander,TobiasMenzies,,,,
0,"Best Supporting Actor in a Series, Limited-Series or TV Movie",Christian Slater,1,Mr. Robot,ChristianSlater,,,,
0,"Best Supporting Actress in a Series, Limited-Series, or TV Movie",Uzo Aduba,1,Orange is the New Black,UzoAduba,,,,
0,"Best Supporting Actress in a Series, Limited-Series, or TV Movie",Joanne Froggatt,1,Downton Abbey,JoFroggatt,,,,
0,"Best Supporting Actress in a Series, Limited-Series, or TV Movie",Regina King,1,American Crime,ReginaKing,,,,
0,"Best Supporting Actress in a Series, Limited-Series, or TV Movie",Judith Light,1,Transparent,JudithLight,,,,
0,"Best Supporting Actress in a Series, Limited-Series, or TV Movie",Maura Tierney,1,The Affair,,,,,
