,Room
46,RT @brielarson: To the critics and patrons who shared their love of #RoomTheMovie on the Internet and to me in person: THANK YOU. I'm moved…
47,RT @ReinaaRoyale: usatodaylife Officially the cutest star on the red carpet so far. #TheRoom #GoldenGlobes  https://t.co/NSHlPNzesW
48,Telluride: Make 'Room' on Oscar Shortlists for Brie Larson — and 8-Year-Old Jacob Tremblay http://t.co/gkLZZulCA0 via @thr
49,Full Red Band Trailer for Jeremy Saulnier's Punk Thriller 'Green Room' https://t.co/Q5EaTZ17hb @A24 https://t.co/e8vMrfUxnM
50,RT @SAGawards: .@BrieLarson receives the SAG Award for Female Actor in a Leading Role! @RoomTheMovie #RoomMovie #sagawards🎭 https://t.co/rU…
51,Not the biggest fan of the film... But this intl. poster for Best Picture nominee Room is the best one yet. @A24 https://t.co/kbCCDhVLs1
52,@SatyaLoquacious Different tastes. Sicario is #7! The Big Short was awesome. Spotlight is great. Room and Carol are overrated IMHO.
53,"New UK poster for #Sundance2016 film Green Room, directed by Jeremy Saulnier. Played TIFF, plays Sundance Jan 25 https://t.co/TprImHj77j"
54,"RT @christinalefou: The Revenant, Room, + Creed are all released today. If you're not at the movies this weekend, what are you even doing?"
55,"Green Room lived up to the hype! So badass. Much more low key than I was expecting, but more polished than Blue Ruin. Recommended."
56,First Teaser Trailer for Jeremy Saulnier's Violent Thriller 'Green Room' https://t.co/Mjb1ZexALY https://t.co/fNvfCBIFUp
57,"RT @NadiaNeophytou: 8 films up for Best Pic - The Big Short, Bridge of Spies, Brooklyn, Mad Max: Fury Road, The Martian, The Revenant, Room…"
58,RT @EDouglasWW: So that's eight BP nominations: no Straight Outta Compton or Carol and no Ridley Scott but Lenny Abrahamson for Room (well-…
59,"Big year for @a24 with Room racking up lots of noms including Best Picture, not to mention Ex Machina and Amy. Congrats! #OscarNoms"
60,"RT @XanBrooks: Three Oscar heavyweights on this week's film show - &amp; that's just the critics (Also includes Revenant, Room &amp; Creed) https:/…"
61,My review of Room (dir. Lenny Abrahamson) is up here: https://t.co/QNnzqLMPRz
62,My review of Room (dir. Lenny Abrahamson) is up here: https://t.co/QNnzqLMPRz
63,"My review of The Forbidden Room (dirs. Guy Maddin, Evan Johnson) is up here: https://t.co/eNpByPXOuR"
64,Those with lower than third billing have restricted access to Green Room snacks so Steven's only getting crisps https://t.co/JarLH2uXao
65,"Three Oscar heavyweights on this week's film show - &amp; that's just the critics (Also includes Revenant, Room &amp; Creed) https://t.co/kZ2mt3La14"
66,"Carol shut out, Room let in. Swings &amp; roundabouts. https://t.co/zo7Nxxcisk"
67,"At risk of jumping the gun, I'm picking Room as a Favourite Film of 2016. Here's an i/v with author Emma Donoghue https://t.co/6NcFlH8Aej"
68,"@baloobas1 Yes, guess they're going on US release dates. By that reckoning, am expecting Keeping Room, Felt &amp; The Boy in UK around 2018."
69,"Loved Lenny Abrahamson's Room, a film of dark beauty born out of such horror. Potent acting &amp; handling blows the doors &amp; roof off."
70,@lennyabrahamson @DonaldClarke63 @RoomTheMovie Well done Lenny. Am delighted.
71,"Cannes diary day three, featuring Captives, The Blue Room and the hand of a ghost http://t.co/vhZp8uD8bd"
72,"RT @MarkHarrisNYC: ...AND just like that, the Producers Guild of America omits Carol and Room from its ten nominees. Bad call, guys (and I …"
73,RT @MarkHarrisNYC: Room destroyed me. Respectfully disagree w/ NYT; I found the 2nd half as strong &amp; innovative as the 1st. Stunningly shot…
74,RT @jenelleriley: @RoomTheMovie opens in NY/LA today. It's my favorite film of the year so far. So you should go.
75,RT @christylemire: Psyched to be on @AirTalk's FilmWeek w/the great @JustinCChang and @LarryMantle. #BridgeOfSpies #RoomMovie #CrimsonPeak …
76,"Room beats Carol, Force Majeure, Girlhood and Son of Saul."
77,Best international independent film goes to Room. Awards momentum train passing through... #BIFAs
78,"Edinburgh 2015: Stewart Lee, A Room with a Stew, Assembly Rooms, review | via @telegraph http://t.co/DMsCnPBkdJ"
79,About to literally take a 2-hour nap on the floor of the Sunset Screening Room (I have nowhere else to go) while they re-download the DCP.
80,"Oh hey, I'm checking out the new bar in Bedford-Stuyvesant that looks kind of like the Red Room in… https://t.co/HhhI5gfBjJ"
81,RT @brockwilbur: We Took A Group Of Former Convicts To An Escape Room Game; What Happens Next Is Mean-Spirited At Best
82,"Green Room goes wide the same day that Keanu opens, potentially making for the Greatest Double Feature of All Time."
83,"2016 releases I can recommend: The Brand New Testament, Demon, Green Room, High-Rise, The Invitation, Krisha, The Lobster, The Witch."
84,@jowrotethis How is Four Rooms not at the bottom? Of the Internet?
85,@BrianUdovich But I thought Brie Larson was going to be our new Sigourney? (At least I did after watching Room.)
86,@jhoffman @jpraup #TeamKrisha #TeamGreenRoom
87,"Room, x2: a really fun watch with people who don't even know what the premise is."
88,My pitch for Room did not work AT ALL.
89,"@kristapley @mtgilchrist FWIW, we were told to expect Tour/Amy/Room before Thanksgiving, Machina/Grind/Young/West after."
90,"RT @griersonleitch: REVIEW: ""Room."" Brie Larson shines in this drama about a kidnapped mother whose real ordeal begins once she's freed. ht…"
91,#Cannes Press Room. There will be boos. http://t.co/9KjrXrqthD
92,Room with a view. #houseoflies http://t.co/gChXEuWQEF
93,RT @AnaMAuthor: #TheRavenRoom #blogTour starts tomorrow!! Check it out: https://t.co/Uk0QHr4qKr @TLCBookTours #books #NewReleases #bookblog…
94,Fall breakthroughs Laia Costa (Victoria) Jacob Tremblay (Room) Geza Rohrig (Son of Saul) Tessa Farmiga (Final Girls) http://t.co/9N4ad5K7eV
95,"Jeremy Saulnier's Green Room was lean, mean, and viciously effective.  #cannes2015"
96,RT @PowderRoomFilms: Classic mix of profound and funny@LeslyeHeadland - looking forward to the film! @loganhill33 @TimesTalks  #Sundance ht…
97,Both @RoomTheMovie and @ExMachinaMovie from @A24 landed on our Best Films of 2015 list! https://t.co/KdhsBCLtwi https://t.co/JHKkv3oVLg
98,.@brielarson has never been better than in the life-affirming @RoomTheMovie Review: https://t.co/NKex48XLTj https://t.co/8Nh7owdvuo
99,We talk to @lennyabrahamson about @brielarson &amp; the IDEAL way to watch @RoomTheMovie https://t.co/ol4JmKNpcQ https://t.co/0bQu8IJW6s
100,LE CHAMBRE BLEU (Blue Room) from French actor/director M. Amalric starts off with some conviction but drags itself into insufferable boredom
101,RT @DemionFilm: Alas! My first #NYFF Academy piece for @IWCriticwire on dream logic in The Forbidden Room &amp; Cemetery of Splendour http://t.…
102,RT @BoneyAbroad: Glad to see @JamesFrancoTV has joined the party! The Keeping Room is brilliant. My words http://t.co/V5j3nlJpKI https://t.…
103,"RT @SirPatStew: Last week my movie Green Room screened at #tiff. It is very, very scary. Nothing in it is more terrifying than the last 3 h…"
104,@Bloatfly @A24 @RoomTheMovie @brielarson @iamjaketremblay as a huge fan of ST12 I beg to differ. A familiar face can still reveal new sides.
105,RT @IWCriticwire: Give Bright Wall Dark Room (@BWDR) some money. You’ll feel good about it. http://t.co/PNcALZKLfN
106,RT @scott_tobias: Back row. Aisle seat. Lake Street Screening Room. #RIP http://t.co/UZow5jFLDF
107,@kristapley Used to enjoy goofing on VHS crap in the '80s but The Room eludes me. So do intentionally bad flicks like Hobo with a Shotgun
108,RT @LostInTheMovies: Journey Through Twin Peaks: Greenhouses &amp; Red-Curtained Rooms (ch. 7: ep. 9-12) https://t.co/isCo1Cu0KG #TwinPeaks
109,I like to think this place is called The Rumpus Room. Just because. #TCMParty #PointBreak
110,"@lennyabrahamson Lenny! Great to hear from you. All good here on the Lido, though I do wish you'd brought Room here... You must be thrilled"
111,Mandarins In The Press Room: My Festival Life by Jessica Kiang
112,2016 Sundance Film Fest Predictions: Jeremy Saulnier's Green Room - Blue Ruin was in the Spotlight section @A24 https://t.co/pWdexdmzxW
113,"Room: ""Abrahamson presents a graciously well-made and gratifying film"" @A24 http://t.co/K1PytPRrKj"
114,"★★★★ Guy Maddin's The Forbidden Room: ""a masterful, operatic delight of strangeness"" Via @KinoLorber http://t.co/AjjRDdx35R"
115,"In the Room: ""Gothong Tan does an excellent job of indicating changes in period &amp; mood via lighting &amp; framing"" http://t.co/wSAnJGid7n"
116,Jordan's @Rectangular_Eye video interview w/ The Keeping Room's Daniel Barber - via: @drafthousefilms this wkend http://t.co/i29JmAcjsH
117,"The Keeping Room: ""meekly elegiac in tone as it teases notions of female agency"" http://t.co/zzbsyw3ag9"
118,"Room: ""dark psychological undercurrents w/ characters forced to undergo drastically juxtaposing realities"" @A24 http://t.co/K1PytPRrKj"
119,"Congrats! @evgeny_director @RoomTheMovie: Abrahamson's ""Room"" Steals ""Spotlight"" with People's Choice Award http://t.co/idTmlsUZ5Q"
120,"Green Room: ""..intelligently written &amp; featuring a cast of notable young talents showcasing surprising prowess."" http://t.co/l3Z9jKNDef"
121,"RT @Rectangular_Eye: Green Room:
A fittingly tense &amp; gruesome nazi-punk thriller following Blue Ruin. Saulnier continues to impress w/ grea…"
122,"A24 Embrace Punk Attitude: Saulnier's ""Green Room"" Finds A Club - Congrats @saulnier_jeremy! http://t.co/je7M9dxlNx"
123,... Room: w/ @brielarson (Short Term 12!) receives limited theatrical release Oct. 16 followed by rollout on Nov. 6th http://t.co/xUANb5rspP
124,New stuff #TIFF15 ranking: 1. Room 2. Where to Invade Next 3. Anomalisa 4.Beasts of No Nation 5. Sunset Song 6.The Danish Girl 7. Trumbo EL
125,"2015 Directors' Fortnight: Saulnier's Green Room &amp; Bidegain's Les Cowboys Among ""Dope"" Selections http://t.co/JaEIZXi4pl"
126,The Elephant in the Room: Interview with Eléphant ClassiQ's Gérald Duchaussoy http://t.co/iYbfakX6qM
127,"★★★★ Guy Maddin's ""The Forbidden Room plays like Kafka through a kaleidoscope"" http://t.co/8kN8G3TU2v"
128,Sundance ’15: Guy Maddin's The Forbidden Room Leads New Frontier Offerings http://t.co/NFk11crgau
129,"Sundance Prediction #13. Not sure where it is in post-prod, but 28 Hotel Rooms helmer could make it 3 for 3. http://t.co/t6Fkh0H4JO"
130,"#TIFF14 Pick #8: Daniel Barber’s civil war thriller The Keeping Room, starring @britmarling. http://t.co/7erQR3e8pC"
131,"RT @mariejoelle: America's Most Expensive Hotel Room Costs $45,000 A Night — And It's Non-Negotiable http://t.co/HlE34rOnzZ"
132,"The Maid's Room | Review http://t.co/VxI7LaymPH -- a ""mixed bag of interesting ideas lost in a sea of underdevelopment"""
133,"@ZeitchikLAT Yeah, I was on the brink of dropping Room, but think there might just be enough passion votes for it."
134,"BEST PICTURE 
The Big Short 
Bridge of Spies
Brooklyn
Carol
Mad Max: Fury Road
The Martian
The Revenant
Room
Spotlight

(if 10: Inside Out)"
135,"BEST ACTRESS
Cate Blanchett, Carol
Brie Larson, Room
Charlotte Rampling, 45 Years
Saoirse Ronan, Brooklyn
Alicia Vikander, The Danish Girl"
136,"BEST SUPPORTING ACTRESS
Joan Allen, Room
Rooney Mara, Carol
Alicia Vikander, Ex Machina
Julie Walters, Brooklyn
Kate Winslet, Steve Jobs"
137,"BEST ADAPTED SCREENPLAY
Anomalisa
The Big Short
Brooklyn
Carol  
Room"
138,@CasparSalmon @SiRenshaw I retract my earlier statement. I want to know what Cliff Richard made of Room.
139,"@kristapley Yeah, I'm quite surprised Room missed. Design shifts and spatial relationships are so integral to story there."
140,"@nathanielr Room's eligibility feels more tenuous, unless they define ""American"" as ""North American""."
141,"Best Film: Amy, Carol, 45 Years, Inside Out, Look of Silence, Mad Max: Fury Road, The Martian, The Revenant, Room, Spotlight. @londoncritics"
142,"@mike_hogan Not voting for a film doesn't equal turning your nose up at it! I like Room a lot but there wasn't, uh, room for it in my top 5."
143,RT @jwoodfilm: Room @TIFF_NET shows what an incredibly versatile director Lenny Abrahamson is.
144,"my faves at #TIFF15 Room, High Rise, Land of Mine, Brooklyn, Sunset Song"
145,"Room gave me goosebumps. Brie Larson, Joan Allen and young Jacob Tremblay were all just perfect. #TIFF15"
146,Room is finally totally unpacked...
147,"RT @jfdulac: POTUS and FLOTUS dance as Earth, Wind &amp; Fire performs in the East Room on Feb. 22, 2009. (Photo by @petesouza) https://t.co/Gr…"
148,"RT @SlateCultFest: New episode with guest host @Wesley_Morris! On The People v. O.J. Simpson, @RoomTheMovie, and @rihanna’s #ANTI: https://…"
149,RT @Variety: 'Room': Creating a whole world in a 10-foot space https://t.co/fNlDM3N6Jp https://t.co/PTJ2ivNMK9
150,RT @SlateCultFest: .@magiciansbook endorses The Lost Room: https://t.co/PgHi5QhpbB
151,"In Room, Brie Larson &amp; Jacob Tremblay prove that two people in four walls can create a world worth surviving for. http://t.co/JczFHuibqT"
152,Home from back-to-back screenings of Room &amp; The Martian. That's a lot of consecutive hours of people surviving in impossible circumstances.
153,"Inside Hollywood Part I: How they filmed the amazing ""Room"" in that little tiny space.https://t.co/aoAaxuLp62"
154,"""Room"" had the kind of overwhelming impact on me I didn't expect. My review explains why: http://t.co/Rnp5JqH9zb"
155,"""Room"" shaping up to be one of the most talked-about films of the fall. @ThatRebecca tells us why. http://t.co/zUOLzvMYQz"
156,"While the system lusts for big tent blockbusters, movies for specific audiences like ""War Room"" and even ""Straight Outta Compton"" rake it in"
157,@bombaylychee Room for both. Also https://t.co/a7410N5Kq5
158,"RT @A24: .@RoomTheMovie, not to be confused with the worst movie ever made, @TheRoomMovie. https://t.co/tJkntcBodJ"
159,RT @EW: Watching #RoomMovie will be an experience you won't forget. Our @ChrisNashawaty reviews: http://t.co/tu0udO7tlo http://t.co/XpoapQK…
160,RT @EW: #Room wows #TIFF15 and gains awards momentum: http://t.co/8faOkIZdne http://t.co/ZoPpFTMVBP
161,RT @JeffLabrecque: Is Room's Jacob Tremblay this year's Quvenzhané Wallis? http://t.co/BKGkG9GkA2 @RoomTheMovie #TIFF15
162,Mathieu Amalric's The Blue Room has a frowning sense of right and wrong and never loses its grip http://t.co/W1KOtSvoau
163,My top ten new films of 2015 were: 10 Chevalier 9 El Club 8 The Forbidden Room 7 The Academy of Muses 6 One Floor Below 5 45 Years &gt;
164,"@VIFFSTER You mean it’s as emotionally affecting as Umbrellas, Demoiselles and A Room in Town? This is surely a surprise?"
165,"#Cannes2015 Nanni Moretti’s MIA MADRE is surely his finest since The Son’s Room. Again beautifully understated, and with very funny Turturro"
166,My favourite films of 2014 have been: 10 Of Men and War 9 The Owners 8 The Great Museum 7 Foxcatcher 6 Leviathan 5 Maidan 4 The Blue Room &amp;
167,RT @muirkate: A plaque for Philip French is to go on his favourite front row seat in the Soho Screening Rooms from @londoncritics
168,Room #londoncritics
169,Actress of the Year - Cate Blanchett - Carol; Brie Larson - Room; Rooney Mara - Carol...
170,Emma Donoghue - Room; Nick Hornby - Brooklyn; Phyllis Nagy - Carol; Josh Singer &amp; Tom McCarthy - Spotlight; Aaron Sorkin - Steve Jobs
171,Tom Browne - Radiator; Mark Burton &amp; Richard Starzak - Shaun the Sheep Movie; Emma Donoghue - Room...
172,Forbidden Rooms: Director Guy Maddin Interviewed @thequietus https://t.co/kWpfMCJNeM
173,"""iconoclastic cinema with plenty of the sacred and the profane to be passed around"" The Forbidden Room reviewed https://t.co/IaWu1xQiid"
174,"""a strange and ever entertaining witches brew of b-movies"" The Forbidden Room reviewed https://t.co/IaWu1xQiid"
175,"""a revelation of frame painted Freudiana, fetishes, ephemera and folly."" Guy Maddin's The Forbidden Room reviewed https://t.co/IaWu1xQiid"
176,"I think I just cried more at a film than I've ever done before. 
The name of the film? 
Room."
177,"@Scalarama The Ascent (Shepitko),Brief Encounters (Muratova),House is Black (Forough),Ravenous (Bird),Apple (Makhmalbaf),3 Rooms (Honkasalo)"
178,"Wonderful words with @GuyMaddin and Evan Johnson about ""Seances"" and ""The Forbidden Room."" https://t.co/0JN9nLsSME"
179,"Enter ""The Forbidden Room"" or else.
https://t.co/MbzawA1Ts1"
180,Gary Le Strange - All I Ever Do (Is Sit In My Room) https://t.co/SghNJciEzv via @YouTube
181,RT @TheFilmStage: Calling all Claire Denis fans. Watch Tindersticks’ new visual album ‘The Waiting Room’ https://t.co/zLh104RCks https://t.…
182,"""This film is nutballs."" Vince goes into The Forbidden Room... https://t.co/WPKaspcJBy"
183,Guy Maddin’s The Forbidden Room is a hilarious nesting doll of lost cinema http://t.co/j4VEdp2znU via @TheAVClub
184,RT @Variety: Film Review: ‘The Forbidden Room’ http://t.co/KabHSZiFqg
185,"RT @BumbleWard: ""Room"" is kinda wonderful. Don't remember experiencing that level of emotion in a movie. Riveted."
186,RT @415Matty: The crazy genius of #GuyMaddin #TheForbiddenRoom https://t.co/8fdUIawCtf
187,EXCLUSIVE: Jeremy Saulnier's Green Room secures France deal: https://t.co/9LWVyzytXp
188,"Chevalier, The Witch, Sherpa among LFF winners | Greek comedy beats out Room, Son of Saul, Beasts of No Nation: http://t.co/UFL2Ffn37J"
189,"EXCLUSIVE: Andrew Scott, Ciaran Hinds wrap Sam Yates' Hope Rooms for Bill Kenwright Films ahead of feature push: http://t.co/ct08PEzglv"
190,"EXCLUSIVE: Jeremy Saulnier's TIFF Midnight Madness thriller Green Room is heading to Germany, Australia, more: http://t.co/koCryeKCgh"
191,"@JaneCWoods @TheWomensRoomUK @CherylMorgan wasn't there vague talk of Jennifer Saunders as a contender, years back?"
192,‘Anyone who dares to act this crazy must be crazy.’ White Room
193,Room https://t.co/HZdvGGEr1X https://t.co/3eGuAIqWsx
194,"@CigaretteBurns_ try the much better novel, Harry Harrison's Make Room! Make Room!"
195,RT @UkNatArchives: Gladstone's original budget box retired in 2010 &amp; is now displayed at #ChurchillWarRooms #budget2015 #summerbudget http:…
196,"@BoringSummerHol @BBCRadio3 Room? Yes, very powerful."
197,"RT @BBCRadio3: New film -  #Room - and the thoughts of JJ Rousseau: #SoundOfCinema &amp; @DrMatthewSweet  at 3.
https://t.co/L7y1GQXaAx https:/…"
198,"Tonight's @BBCFreeThinking has @lennyabrahamson on Rousseau &amp; Room; Stephen Woolley on Alan Rickman, Christopher Frayling on The Revenant."
199,RT @BFI: .@SightSoundmag track the origins of Guy Maddin's The Forbidden Room after it packed BFI Imax http://t.co/JkF0x7HZIw http://t.co/l…
200,RT @badlandsfilm: Subscribe to @SightSoundmag and you can win tickets to the #LFF IMAX gala screening of Guy Maddin's Forbidden Room http:/…
201,"@AnneBillson Duke Of Burgundy, Mad Max, World Of Tomorrow, Forbidden Room, Aaaaaaaah!, Hard To Be A God, It Follows."
202,"Fave 2015 movies: Duke Of Burgundy, Mad Max, World Of Tomorrow, Forbidden Room, Aaaaaaaah!, Hard To Be A God, It Follows. That's about it."
203,"Bit cheesed off at having to watch Guy Maddin's incredible The Forbidden Room streamed, this needs a huge screen: https://t.co/oCYVLh4rzm"
204,Sad I missed The Keeping Room.. But maybe next we can get a film about women who masked their gender and fought in wars? *fingerscrossed*
205,Room is out today. I loved it.
206,".@brielarson should have been nominated for Short Term 12. That said, she's terrific in Room. And so is Jacob Tremblay who wasn't nominated."
207,"Great to see the Room love, too."
208,RT @carl_kohler: Rooms by the Sea by Edward Hopper http://t.co/rH4AK8jm8Y #Hopper #art http://t.co/Zbd6ken2XT
209,@compboy1972 I  find it hard to recommend much right now! Creed and Room and that's about it.
210,Currently sitting in a room. Then off to sit in another room to watch Room. #Room
211,Room 237: Sundance Film Review http://t.co/6XMCBv1y
212,Please don’t let the hype the film is generating build you up for a letdown: see 'Room' https://t.co/GpSkTDImLG #Room @brielarson
213,RT @FoxHomeEnt: Remember Rocky &amp; Bullwinkle?! Come jog your memory at the panel today at 11:30 in Room 8 with @LeonardMaltin! #SDCC #MrPeab…
214,RT @GOTTSCHALK82: @KermodeMovie I once interviewed The Charlatans and they said they used to listen to The Pink Room before heading out on …
215,"RT @wittertainment: Mark's top 5:

1. Room
2. Rams (NEW)
3. The Assassin
4. Trumbo (NEW)
5. Spotlight"
216,"RT @baked_goodness: @KermodeMovie @simonmayo where the ET audition video failed, watching Room on a plane succeeded. I am stone hearted no …"
217,RT @steveevets26: @KermodeMovie got to say after your review of Room. I gave it a go It stayed with me for days. Amazingly moving and haunt…
218,RT @TheSusanGeorge: Flawless as you said @KermodeMovie saw Room last night heartbreaking story told with honesty and brilliance by all. A m…
219,"RT @picadorbooks: 'Heartbreaking, life-affirming... brilliantly directed'

5*s for #Room from @KermodeMovie: https://t.co/tQ2UcjKdeH https:…"
220,RT @ObsNewReview: A rare ★★★★★ from @KermodeMovie for @lennyabrahamson's unexpectedly life-affirming Room https://t.co/mpvTM0dNTV https://t…
221,@TheSusanGeorge Happy New Year Susan! (And Room really IS that good ..)
222,"RT @MaxRenn: @KermodeMovie I keep telling people Room sounds like a movie that will ruin your day, but it really doesn't. Loved it"
223,"RT @wittertainment: Mark's top 5 films in UK cinemas: 

1. Room
2. Room
3. Room
4. The Revenant
5. Room"
224,"RT @wittertainment: Fancy a podcast with @LeoDiCaprio, @lennyabrahamson, @RevenantMovie, @RoomTheMovie &amp; @creedmovie? You're in luck: https…"
225,"RT @MarkHarrisNYC: ...AND just like that, the Producers Guild of America omits Carol and Room from its ten nominees. Bad call, guys (and I …"
226,RT @MarkHarrisNYC: Room destroyed me. Respectfully disagree w/ NYT; I found the 2nd half as strong &amp; innovative as the 1st. Stunningly shot…
227,RT @jenelleriley: @RoomTheMovie opens in NY/LA today. It's my favorite film of the year so far. So you should go.
228,RT @christylemire: Psyched to be on @AirTalk's FilmWeek w/the great @JustinCChang and @LarryMantle. #BridgeOfSpies #RoomMovie #CrimsonPeak …
229,"RT @usatodaylife: Your 2016 Best Picture nominees:
The Martian
The Revenant
Room
Spotlight
The Big Short
Bridge of Spies
Brooklyn
Mad Max
#…"
230,Best Picture nods ranked: Spotlight &gt; Room &gt; Brooklyn &gt; Bridge of Spies &gt; Fury Road &gt; The Big Short &gt; The Revenant &gt; The Martian. #OscarNoms
231,"@DirRobSavage Saul, Club, Carol, Dinosaur, Assassin, Syrian, Spotlight, Room and Lobster."
232,@drjonty @BRNicholson Room won Toronto. Taxi won Berlin.
