,Mad Max
18,"RT @TheWrap: 'Crimson Peak,' 'The Revenant,' 'Mad Max' Nominated by Art Directors Guild https://t.co/AB4KKneYUX https://t.co/gi3MNI6VoJ"
19,"BEST PICTURE, Runner-up: ""Mad Max: Fury Road."""
20,"BEST DIRECTOR, Winner: George Miller, ""Mad Max: Fury Road."""
21,"BEST EDITING, Runner-up: Margaret Sixel, ""Mad Max: Fury Road."""
22,"BEST PRODUCTION DESIGN, Winner: Colin Gibson, ""Mad Max: Fury Road."""
23,"BEST CINEMATOGRAPHY, Winner: John Seale, ""Mad Max: Fury Road."""
24,RT @leonardmaltin: 'Mad Max: Fury Road' is a fanboy’s dream come true but lacks heart and soul to match its abundant energy http://t.co/zuP…
25,RT @DrewAtHitFix: Charlize Theron on the unexpected feminist kick of 'Mad Max: Fury Road' @HitFix http://t.co/wbVqy0L3Gv
26,"RT @etalkCTV: 'Spotlight,' 'The Big Short,' 'Mad Max' bring home #CriticsChoice Awards - https://t.co/fNG8BRA8wU #etalk https://t.co/Tai3Z4…"
27,4. Mad Max: Fury Road (George Miller) https://t.co/yAvNE00UJ8 #Top50of2015 https://t.co/1AH9jkjXEP
28,RT @slashfilm: George Miller Says He Won't Direct Another 'Mad Max' Sequel https://t.co/mW01Dt9R9k https://t.co/wkGJdFB95r
29,"6. End of the Tour
5. Sherpa
4. Creed
3. Victoria
2. Son of Saul
1. Mad Max: Fury Road
#BestOf2015 
Full write-up https://t.co/N7I7grUIS0"
30,"RT @RuairiRobinson: We live in the parallel universe where a Mad Max movie got ten Oscar nominations. Suck on that, other universes!"
31,RT @akstanwyck: Tom Hardy deserves that Oscar nom not only for 'Revenant' but 'Legend' and 'Mad Max: Fury Road.' Actors respect him.
32,"RT @melsil: women edited 2 of the 5 films nominated for editing. Margaret Sixel, Mad Max and Maryann Brandon and Mary Jo Markey, Star Wars.…"
33,"RT @NadiaNeophytou: 8 films up for Best Pic - The Big Short, Bridge of Spies, Brooklyn, Mad Max: Fury Road, The Martian, The Revenant, Room…"
34,RT @guardian: Mad Max director George Miller to head Cannes film festival jury https://t.co/4u3iFTNJX0
35,Director and film for Mad Max? Eh? #londoncritics
36,"RT @Clothesonfilm: Morning, here's some Oscar nominated, off the charts brilliant costume design by Jenny Beavan for Mad Max: Fury Road htt…"
37,"Couldn't be prouder of tonight's @londoncritics awards: Mad Max and 45 Years split the biggies, and breakthrough filmmaker to Slow West."
38,"If the Golden Globes name Mad Max: Fury Road best film (drama) tonight, they'll have enough goodwill in the bank for the next 20 fiascos."
39,Mad Max: Fury Road: the most acclaimed film of the year – and a surprise Oscar hopeful? | via @TelegraphFilm https://t.co/WlTk3BR85Z
40,"@The_Shiznit Love Avatar, but Boyhood and Mad Max: Fury Road are both extensively quoted round Casa del Collin."
41,"@JohnHBowker @ross_maclean Maybe? Can't imagine it coming close to Mad Max, but you never know."
42,RT @johnneyred: Great George Miller interview on Mad Max Fury Road from @robbiereviews https://t.co/8PXN6HLNtk - interesting Aboriginal leg…
43,I sat down with George Miller and we dug deep into Mad Max: Fury Road. https://t.co/jwS4HLlj93
44,@elizabday Currently a dead heat with Mad Max for my score of the year.
45,Mad Max: Duplo Road https://t.co/EGgD71FVuE
46,*Loved* interviewing George Miller on stage tonight after a Mad Max: Fury Road screening. The man has insights to make your brain backflip
47,"RT @GuyLodge: Worth noting the recent FIPRESCI Grand Prix winners that Mad Max joins: Boyhood, Blue is the Warmest Colour, Amour, Tree of L…"
48,"@PeterBradshaw1 Eli Roth's Knock Knock pipped it, but only just. Unless Mad Max: Fury Road counts"
49,"2015 is 2/3 done. Here’s my 2/3 list:

The Duke of Bu
Right Now, Wro
Mad Max: Fur
The Forbidd
Car
It Foll
Brea
Tu dors Ni
Heaven Know
Musta"
50,"RT @clarisselou: ""Would you rather Mad Max or skincare?"" This is a legitimate question Tumblr just asked me."
51,"New wack opinion! Having now seen all of the Mad Max films, my favorite thing in any of them is THUNDERDOME’s opening Bartertown sequence."
52,@brandonRohwer @samdzimmerman Or Mad Max.
53,"@alecfwilson @griersonleitch Oh sure: ""Mad Max: Fury Road,"" ""The Avengers,"" ""Gone Girl,"" ""Rise of the Planet of the Apes,"" ""Age of Ultron."""
54,RT @DonaldClarke63: Some notes on Peter Howell being unfairly shafted after asking *that* question at #Cannes2015  Mad Max conference: http…
55,"@elizabethlehem My question to Hardy was badly worded, opposite to my intent &amp; regretted. I'm delighted he's a Mad Max surrounded by women."
56,"@crippledscholar My question to Hardy was badly worded, opposite to my intent &amp; regretted. I'm delighted he's a Mad Max surrounded by women."
57,"@SusanMcLennan My question to Hardy was badly worded, opposite to my intent &amp; regretted. I'm delighted he's a Mad Max surrounded by women."
58,"@joanchang My question to Hardy was badly worded, opposite to my intent &amp; regretted. I'm delighted he's a Mad Max surrounded by women."
59,"@samkates My question to Hardy was badly worded, opposite to my intent &amp; regretted. I'm delighted he's a Mad Max surrounded by women."
60,"@Ashleytredenick My question to Hardy was badly worded, opposite to my intent &amp; regretted. I'm delighted he's a Mad Max surrounded by women."
61,"@eatspecialk It was a badly worded question, completely opposite to my intention. I'm delighted he's a Mad Max surrounded by women."
62,"I dove deep into the making of the year’s most insane film, Mad Max: Fury Road, at @wired: https://t.co/gbSRrrLoJc"
63,"Great @kylebuchanan QA w/ Mad Max's George Miller, who's fascinating: https://t.co/20lglpHvIZ My @Wired story here: https://t.co/gbSRrrLoJc"
64,".@StevenLevy asked me to think about #anki so I wrote about toy cars, Mad Max, A.I., Elvis, The Beatles &amp; Tribbles: https://t.co/VGtKdZpEX3"
65,Mad Max: Fury Road named best pic by National Board of Review; here's my @WIRED feature on how they pulled it off: https://t.co/gbSRrrLoJc
66,ICYMI this weekend @Wired pubbed the last piece of my Mad Max Fury Road package: profile of stunt maestro Guy Norris. http://t.co/SWCFCxkOar
67,The rest of my how-the-hell-did-they-do-that Mad Max Fury Road story is here @Wired: http://t.co/gbSRrrLoJc
68,"Guy Norris broke his femur on Mad Max 2, went back to set to fight Mel w a bearclaw. http://t.co/SWCFCx3cLR"
69,The last part of my Mad Max Fury Road package is up @wired: I profile the man responsible for those insane stunts: http://t.co/SWCFCx3cLR
70,Mad Max Fury Road premieres here at Cannes today. Here's my @Wired process feature on the wild action: http://t.co/gbSRrrLoJc #madmax
71,"RT @MikeElgan: Writing for @WIRED, @loganhill33 tells how they made Mad Max: 
http://t.co/yTyPEEkArj http://t.co/3oMOtXI2Yv"
72,I spoke to Nicholas Hoult about the nutso Mad Max Fury Road set http://t.co/9znkoMzSER while writing this for @Wired http://t.co/oiHXybKxu2
73,Everyone's calling Mad Max Fury Road the best action film in years. I wrote about how they pulled it off in @Wired: http://t.co/gbSRrrLoJc
74,Also on-stands but not online yet: My Wiseguy QA with Matt Dillon in Details + a feature on the crazy stunts of Mad Max: Fury Road in Wired.
75,RT @IWCriticwire: Village Voice film poll: Mad Max: Fury Road is 2015’s best; Me and Earl and the Dying Girl its worst: https://t.co/1IZh5v…
76,"Ride, Mad Max, ride. FIPRESCI votes yay. http://t.co/2YCncSoVNb"
77,Mad Max: Mario Kart Fury gets murderously Miyamoto - destructoid http://t.co/YPYP7x2yac
78,"RT @killscreen: ICYMI: The righteous return of road warrior Mad Max, and what it means for videogames http://t.co/QUJLdrvor0 http://t.co/z9…"
79,"RT @vigalondo: Ya he visto Mad Max. Bueno, se trataba de llegar a este punto. Ya podemos CERRAR EL CINE ¿no?"
80,"RT @akstanwyck: 'Mad Max: Fury Road' Auteur George Miller Does It His Way, No Matter How Long It Takes http://t.co/QPR6YkPpwb"
81,"@jenyamato I don't even know what this means except you just watched the new Mad Max, but I LOVE your attention to detail."
82,I genuinely don't want to see Theron in the Mad Max sequel and not cos I don't adore Furiosa. I'd love MM to become the only franchise in
83,@YrOnlyHope I quite like the idea of Mad Max turning up and being equally peripheral to a whole new story with other characters.
84,Great to see male lead actors being so game in support of a female lead (reminded me of Hardy in Mad Max).
85,I've seen a (very good) film since but I kinda want to keep talking about Mad Max.
86,"Imagine Mad Max played in competitionin Cannes. (And won, the year after Winter Sleep). What an interesting Earth that would be."
87,Gutted I don't get to do @theplaylist Mad Max review. Anyone want to commission 1000 words that'll break all known records for superlatives?
88,"My Cannes flatmates and I literally leaping out of bed this morning with cries of ""WHATALOVELYDAY!"" (Mad Max: Fury Road is first up)"
89,It's Miller Time: Mad Max: Fury Road Receives Cannes Film Fest Invite! We ♥ dystopian flicks a la @MadMaxMovie http://t.co/s4sTw8rGx9
90,Mad Max: Fury Road going to @Festival_Cannes #Cannes2015
91,@ceeyouandtea A win for Mad Max helps everyone.
92,@nathanielr @MrHam84 I could see Mad Max winning if it goes on a tech-award rampage.
93,"@shaldore @kristapley I think Mad Max is the best of the nominees, yes. But Spotlight would have been a fine winner."
94,Big wins for Mad Max: Fury Road and @45YearsFilm make me proud to be a @LondonCritics member. Fortuitously correcting BAFTA's oversights!
95,"FILM OF THE YEAR: ""Mad Max: Fury Road"" #LondonCritics"
96,"DIRECTOR OF THE YEAR: George Miller, ""Mad Max: Fury Road"" #LondonCritics"
97,"BRITISH/IRISH ACTOR OF THE YEAR: Tom Hardy, ""Legend,"" ""London Road,"" Mad Max: Fury Road"" and ""The Revenant"" #LondonCritics"
98,Tonight: @LondonCritics Awards @TheMayFairHotel. What's our film of 2015? Carol? Mad Max? 45 Years? Nominees here: https://t.co/36HFi3rwGp
99,"@nathanielr I think it's possible, particularly if Mad Max scores a lot of tech wins."
100,"BEST PICTURE 
The Big Short 
Bridge of Spies
Brooklyn
Carol
Mad Max: Fury Road
The Martian
The Revenant
Room
Spotlight

(if 10: Inside Out)"
101,"BEST DIRECTOR
McKay, The Big Short
Miller, Mad Max: Fury Road
Scott, The Martian
Inarritu, The Revenant
McCarthy, Spotlight"
102,"BEST CINEMATOGRAPHY
Carol  
The Hateful Eight 
Mad Max: Fury Road
The Revenant
Sicario"
103,"BEST PRODUCTION DESIGN
Bridge of Spies
Brooklyn
Cinderella 
Crimson Peak 
Mad Max: Fury Road"
104,"BEST FILM EDITING
The Big Short
Mad Max: Fury Road
The Martian
Sicario
Spotlight"
105,"BEST MAKEUP &amp; HAIRSTYLING
Mad Max: Fury Road
Mr. Holmes 
The 100-Year-Old Man Who Climbed Out the Window and Disappeared"
106,"BEST SOUND MIXING
Bridge of Spies
Mad Max: Fury Road
The Martian
The Revenant
Star Wars: The Force Awakens"
107,"BEST SOUND EDITING
Mad Max: Fury Road
The Hateful Eight
The Martian
The Revenant
Star Wars: The Force Awakens"
108,"BEST VISUAL EFFECTS
Ex Machina
Mad Max: Fury Road
The Martian
Star Wars: The Force Awakens
The Walk"
109,@culturemeh I have Mad Max leading with nine!
110,"BEST DIRECTOR
Will win: George Miller, Mad Max: Fury Road
Should win: Todd Haynes, Carol"
111,"@SzczesnyOnTour Carol, Arabian Nights, The Lobster, The Treasure, Disorder, My Golden Days, Macbeth, Mad Max..."
112,"Best Film: Amy, Carol, 45 Years, Inside Out, Look of Silence, Mad Max: Fury Road, The Martian, The Revenant, Room, Spotlight. @londoncritics"
113,RT @CasparSalmon: 'Mad Max: London Road': “I’ve got to/ Got to help save/ Save these women/Save these women/ These women/ From Immortan Joe…
114,I jokingly thought it was Mad Max. Didn't expect it to actually be #E3
115,"RT @MarkHarrisNYC: My final entry for the 2015 Slate Movie Club--Mad Max, Spotlight, great screenwriting, and the worst last line ever. htt…"
116,"NBR names Mad Max: Fury Road the year's best film, raising once again the age-old question: what exactly is the NBR? https://t.co/egsq7AfJ8h"
117,@DarthConans  (2/2) ..it wasn't for me but people are really going for it. If you are curious &amp; liked the old Mad Max trilogy give it a try!
118,@DarthConans If you put something in front of the @ at the beginning of a tweet everyone who follows you will see. As for Mad Max...(1/2)
119,"Wow, @aoscott http://t.co/3g576raUXL … &amp; @kphipps3000 https://t.co/9Mtg8VLkDS … really went for Mad Max: Fury Road. Should I re-see in 3D?"
120,"Today's high point: finishing Mad Max: Fury Road review on a NJ transit bus after sprinting thru Port Authority to catch it, Charlize-style."
121,"Will ""Mad Max"" have the most Oscar nominations of any film? @GlennWhipp thinks so. Here's his reasoning: https://t.co/bSryKCSLAc"
122,"Have no idea exactly who is a member of the National Board of Review, but glad they gave a Best Picture shout out to ""Mad Max: Fury Road."""
123,"""Mad Max: Fury Road"" did not have as strong an opening weekend as had been hoped. Read my review &amp; give it a chance. http://t.co/ehrwb4yGsP"
124,"Happy to see ""Mad Max"" sequel headed to Cannes. At least one movie to look forward to. http://t.co/wiDRnsWZCD"
125,Film of the Year is Mad Max: Fury Road
126,RT @muirkate: Director of the year @londoncritics awards goes to George Miller for Mad Max: Fury Road https://t.co/mkUJr6HX3W
127,The winner is George Miller for Mad Max:Fury Road
128,"RT @GuyLodge: BRITISH/IRISH ACTOR OF THE YEAR: Tom Hardy, ""Legend,"" ""London Road,"" Mad Max: Fury Road"" and ""The Revenant"" #LondonCritics"
129,Mad Max: Fury Road #londoncritics
130,George Miller - Mad Max: Fury Road; Ridley Scott - The Martian
131,Macbeth for sound design; Mad Max: Fury Road for cinematography; Mad Max: Fury Road for production design...
132,"Michael Brooke, yes I agree, Mad Max Fury Road is like Buster Keaton's The General, especially in its structure."
133,Fell in love w big films cos of their thrill.Fell out of love w them cos too many seemed calculated+cynical. New Mad Max film restores faith
134,"Yes, Mad Max is like some silent movies, especially those close ups, with shining eyes, of Charlize Theron + Tom Hardy."
135,New Mad Max film was edited by Margaret Sixel. She must have some kind of hyper brain.
136,"I would def put Mad Max in The Story of Film, but in cyberpunk sequ?Or with Metropolis? Or Jane Campion bit? Or Leone?So many possibilities."
137,"Just saw Mad Max Fury Road, and now I need either a joy ride or a sedative. Not sure which. Incredible."
138,"Strongest category: 
Carol, Ed Lachman
Mad Max: Fury Road John Seale
Sicario Roger Deakins
Hateful Eight Robert Richardson
Revenant, Chivo"
139,"BREAKING: Bridge of Spies and Carol lead 2016 BAFTA nominations with nine each. The Revenant gets eight, Mad Max: Fury Road has seven #bafta"
140,"Mad Max left out of Best Film, Best Director #BAFTA 2016 nominations. Spotlight director Tom McCarthy doesn't make the Best Director cut."
141,Shame no Croisette cavalcade for Mad Max a la The Expendables last year...Where are you Cannes stunts? #MadMax #Cannes2015
142,"Mad Max reboot Mad Max: Fury Road, starring Tom Hardy, to get Cannes screening on May 14...#madmax"
143,The @londoncritics film awards - Mad Max Fury Rd and 45 Yesrs sre the big winners. Kind of proud of that.
144,"My film notes on Mad Max: Fury Road, out today. http://t.co/LOpf5b1MkT"
145,"I'm on BBC Radio 4's Today program c.8.20, talking about dystopia. It's to do with the new Mad Max film not the new government."
146,Tonight's preview screening - Mad Max: Fury Road.
147,"@AnneBillson Duke Of Burgundy, Mad Max, World Of Tomorrow, Forbidden Room, Aaaaaaaah!, Hard To Be A God, It Follows."
148,"Fave 2015 movies: Duke Of Burgundy, Mad Max, World Of Tomorrow, Forbidden Room, Aaaaaaaah!, Hard To Be A God, It Follows. That's about it."
149,"DP/30: Mad Max: Fury Road, George MIller - http://t.co/a5bEOivHG5"
150,Even the Mad Max Fury Road email invite is cool.
151,Wait till you see that Mad Max trailer on a big screen.
152,RT @PaulineGdE: Couv de Luz pour les Cahiers sur les attentats avec du Mad Max Fury Road &lt;3 https://t.co/mmjpNrWV97
153,"En kiosque notre bilan 2015 : le Top ten des meilleurs films, Moretti, Mad Max, les images qui ont fait l'année... https://t.co/yyjfih86Sy"
154,RT @jfferre62: Impresionante portada de LUZ en el CAHIERS DU CINÉMA de diciembre: Mad Max + el horror de los atentados de París... https://…
155,"RT @GuillaumePerro: Cahiers du Cinéma.Couverture du numéro de décembre, signé Luz. Charlize Theron dans Mad Max X Les attentats du 13/11 ht…"
156,"RT @NonFilms: ""A tragic drawing, grim, appalling. Mad Max in the streets of #Paris."" #peaceinparis  https://t.co/FWERqMWKw2"
157,"RT @PatrickFavrel: #AttentatsParis Luz signe la une des @cahierscinema Mad Max dans les rues de Paris
https://t.co/R5IRIw3bGq via @libe htt…"
158,RT @AdriaMarcos: @cinemohicano @cahierscinema Mad Max! Furiosa @really_blur
159,RT @ojoyard: Cette très forte couv' des @cahierscinema signée Luz pour le bilan 2015 : Mad Max Fury Road vs 13/11 https://t.co/Spq80qUfa6
160,"@heavier_things @SightSoundmag People keep telling me this. It's weird, as - Mad Max aside - it's the easiest one to see of the toppermost!"
161,RT @shadowsrich: Thanks @andrewhaighfilm: #45Years packs more punch into a quiet conversation than The Rock and Mad Max combined. Best of 2…
162,"How come Mad Max,a weird movie by a cult director,has 19 oscar noms when hateful eight, a genius film by a cult director has three?"
163,May I just say that I don't get all the fuss about Mad Max Fury Road?  I tried to. But I don't. https://t.co/mpMrdJduGd
164,I cherish my daughter's incredulity that Mad Max is not a children's film. She imagined it was something in the Horrid Henry vein.
165,RT @iamsylvertongue: Mad Max was so good I started crying. The 1st of many cinema viewings.
166,'Mad Max: Fury Road' is a fanboy’s dream come true but lacks heart and soul to match its abundant energy http://t.co/zuPOpeUE0f
167,RT @londoncritics: Film of the Year is Mad Max: Fury Road
168,"RT @usatodaylife: Your 2016 Best Picture nominees:
The Martian
The Revenant
Room
Spotlight
The Big Short
Bridge of Spies
Brooklyn
Mad Max
#…"
169,George Miller confirms on @BBC6Music that Mad Max's apocalyptic future dystopia was brought on by 5p plastic bag charge. #endofdays
170,The Czech speaker has seen Mad Max and thinks Australia is a barren wasteland. #Eurorvision2015
171,"Note: Fury Road is a very honest, very pure Mad Max film. It just never transcends that."
172,Mad Max: Fury Road is the best George Miller film in decades.
173,No more Mad Max movies for George Miller. Let's hope a Len Wiseman or a Louis Leterrier steps up for sequel duty...
174,Saw Mad Max and Timbuktu this weekend. Other half noted that they made quite a nice double bill.
175,RT @LWLies: Here's @AWLies lovin' all over Mad Max: Fury Road: http://t.co/hBSjgX9juU http://t.co/UAw3RSanGw
176,"RT @LWLies: Mad Max: Fury Road is a film fuelled by fire, blood and feminism says @AWLies. Our ★★★★ review http://t.co/hBSjgX9juU http://t.…"
177,"@sappenslyquill @spaceagefilms @DanBerlinka I was tagged into this by someone else too. Choices - Mad Max, Carrie, MS.45 and Point Blank."
178,"RT @Thompson_film: I'm utterly gleeful having seen Mad Max: Fury Road. It's amazing how a film so intense, action driven and bonkers can be…"
179,RT @MrPaulDuane: A woman who is also an amputee watches Mad Max: Fury Road. This. Is. GREAT. http://t.co/2foCKSqsWU
180,Mad Max: Fury Road is happening at 3pm. Oh what a lovely day.
181,"@Cinemartyn Yeah, but how was Mad Max!?"
182,"OK, who wrote 'Mad Max makes Fast &amp; Furious look like Downton Abbey'? That's some lazy arsed stuff right there."
183,You know that rant that states 'no one barks orders at Mad Max'? Has the 'writer' not seen the original? Fifi barks orders at him throughout
184,"@robbiereviews @GrolschFW Grant Page, he put the Mad into Mad Max - http://t.co/zzqIcBJMO6"
185,RT @GrolschFW: Stuntman Grant Page is the unsung hero of the Mad Max films: http://t.co/mNrCcxgVKa http://t.co/iAp3WztY8L
186,"RT @jamie_graham9: Here's my spoiler-free, 5-star review of Mad Max: Fury Road for @totalfilm http://t.co/aY0GuZ4RSP"
187,Mad Max: Fury Road is SO close I can taste the dust.
188,Get yourselves to the @ThePCCLondon today for a Mad Max and The Road Warrior  double bill. Grab details of @AusNZfestival while you're there
189,"RT @TheWrap: 'Crimson Peak,' 'The Revenant,' 'Mad Max' Nominated by Art Directors Guild https://t.co/AB4KKneYUX https://t.co/gi3MNI6VoJ"
190,"Mad Max, zombie satire and Cormac McCarthy: the art that built hit game #Fallout4 https://t.co/zz77G0A7VN https://t.co/GXogVcqA0g"
191,RT @NBRfilm: 2015 NBR Award Winners have been announced! Best Film of 2015 is Mad Max: Fury Road. Full list here: https://t.co/JJURERxzK3
192,"An ace mashup: ""It's a Mad Mad Mad Max Fury Road - Trailer"" https://t.co/IKAlmE3PUE"
193,RT @rosebellas: RT @ThePlaylist Listen To The First Track From From The 'Mad Max: Fury Road' Soundtrack http://t.co/ize9B57hCP http://t.co/…
194,@ceeyouandtea A win for Mad Max helps everyone.
195,@nathanielr @MrHam84 I could see Mad Max winning if it goes on a tech-award rampage.
196,"@shaldore @kristapley I think Mad Max is the best of the nominees, yes. But Spotlight would have been a fine winner."
197,Big wins for Mad Max: Fury Road and @45YearsFilm make me proud to be a @LondonCritics member. Fortuitously correcting BAFTA's oversights!
198,"FILM OF THE YEAR: ""Mad Max: Fury Road"" #LondonCritics"
199,"DIRECTOR OF THE YEAR: George Miller, ""Mad Max: Fury Road"" #LondonCritics"
200,"BRITISH/IRISH ACTOR OF THE YEAR: Tom Hardy, ""Legend,"" ""London Road,"" Mad Max: Fury Road"" and ""The Revenant"" #LondonCritics"
201,Tonight: @LondonCritics Awards @TheMayFairHotel. What's our film of 2015? Carol? Mad Max? 45 Years? Nominees here: https://t.co/36HFi3rwGp
202,"@nathanielr I think it's possible, particularly if Mad Max scores a lot of tech wins."
203,"BEST PICTURE 
The Big Short 
Bridge of Spies
Brooklyn
Carol
Mad Max: Fury Road
The Martian
The Revenant
Room
Spotlight

(if 10: Inside Out)"
204,"BEST DIRECTOR
McKay, The Big Short
Miller, Mad Max: Fury Road
Scott, The Martian
Inarritu, The Revenant
McCarthy, Spotlight"
205,"BEST CINEMATOGRAPHY
Carol  
The Hateful Eight 
Mad Max: Fury Road
The Revenant
Sicario"
206,"BEST PRODUCTION DESIGN
Bridge of Spies
Brooklyn
Cinderella 
Crimson Peak 
Mad Max: Fury Road"
207,"BEST FILM EDITING
The Big Short
Mad Max: Fury Road
The Martian
Sicario
Spotlight"
208,"BEST MAKEUP &amp; HAIRSTYLING
Mad Max: Fury Road
Mr. Holmes 
The 100-Year-Old Man Who Climbed Out the Window and Disappeared"
209,"BEST SOUND MIXING
Bridge of Spies
Mad Max: Fury Road
The Martian
The Revenant
Star Wars: The Force Awakens"
210,"BEST SOUND EDITING
Mad Max: Fury Road
The Hateful Eight
The Martian
The Revenant
Star Wars: The Force Awakens"
211,"BEST VISUAL EFFECTS
Ex Machina
Mad Max: Fury Road
The Martian
Star Wars: The Force Awakens
The Walk"
212,@culturemeh I have Mad Max leading with nine!
213,"BEST DIRECTOR
Will win: George Miller, Mad Max: Fury Road
Should win: Todd Haynes, Carol"
214,"@SzczesnyOnTour Carol, Arabian Nights, The Lobster, The Treasure, Disorder, My Golden Days, Macbeth, Mad Max..."
215,"Best Film: Amy, Carol, 45 Years, Inside Out, Look of Silence, Mad Max: Fury Road, The Martian, The Revenant, Room, Spotlight. @londoncritics"
216,RT @CasparSalmon: 'Mad Max: London Road': “I’ve got to/ Got to help save/ Save these women/Save these women/ These women/ From Immortan Joe…
217,"RT @CarlaMeyerSB: Movie review: Thrills never stop in ""Mad Max: Fury Road."" http://t.co/mMpr2yfXWH"
218,"Despite cool touches, ‘Mad Max’ is mostly a long, dull chase http://t.co/4nLytOLS3q via @sfchronicle"
219,"Despite cool touches, ‘Mad Max’ is mostly a long, dull chase http://t.co/4nLytOLS3q via @sfchronicle"
220,"@mozzbomb I do talk about it on Fury Road and Mad Max blus... so it's there, just not featured."
221,"Oscar best pic nominees: The Big Short, Bridge of Spies, Brooklyn, Mad Max, The Martian, The Revenant, Room, Spotlight"
222,Film Critic Top 10 Lists Compilation &amp; Scorecard (Updated) https://t.co/hOjzOcZBo6 (Mad Max: Fury Road is still WAY out in front...)
223,"Film Critic 2015 Top 10 Lists Compilation/Scorecard: https://t.co/hOjzOcZBo6 With 235 lists counted, Mad Max: Fury Road is lapping the field"
224,Film Critic Top 10 Lists Compilation/Scorecard https://t.co/hOjzOcZBo6 (Mad Max: Fury Road is still dominating.)
225,Austin Film Critics have named Mad Max the best picture of 2015. More winners + full awards scorecard at https://t.co/oZWDZtjpVb
226,2015 Film Critic Top 10 Lists Compilation &amp; Scorecard: https://t.co/hOjzOcZBo6 (Mad Max: Fury Road is dominating with 34 1st-Place Votes)
227,Best of 2015: Film Critic Top 10 Lists Compilation &amp; Scorecard: https://t.co/hOjzOcZBo6 (Mad Max: Fury Road maintains a substantial lead...)
228,"We have now collected over 130 film critic top 10 lists, and Mad Max looks set as critics' #1 overall film of 2015: https://t.co/HfgGqy3lBG"
229,"Mad Max has picked up its 4th best picture win, this time from SD critics: https://t.co/dUMGMBqVLx"
230,"#GoldenGlobes noms for best picture-drama: Carol, Mad Max: Fury Road, The Revenant, Room, Spotlight"
231,Film Critics 2015 Top 10 List Round-Up &amp; Scorecard: https://t.co/hOjzOcZBo6 #3 Mad Max Fury Road...#8 (tie) Amy... #16 (tie) It Follows
232,"New on DVD/Blu-ray: Mad Max Fury Road [89], Star Wars Rebels S1 [78], Bessie [75], Good Kill [63]; full list at http://t.co/JZ9aicE4El"
233,"Mad Max [PS4 - 71] http://t.co/l3Q1OsflTL GameSpot's Peter Brown: ""Mad Max's combat system is too dumbed down to enjoy."""
234,Weekend Box Office (1) Spy $30.0mil (2) San Andreas $26.4 (3) Insidious3 $23.0 (4) Entourage $10.4 (5) Mad Max $8.0 (6) Pitch Perfect 2 $7.7
235,Friday Box Office: (1) Insidious 3 $10.4mil (2) Spy $10.3 (3) San Andreas $7.7 (4) Entourage $3.7 (5) Pitch Perfect 2 $2.6 (6) Mad Max $2.3
