,Revenant
19,"RT @misterpatches: Swiss Army is the sweded Revenant with more to say about mortality and 1,000 fart jokes. Bonkers. #Sundance"
20,9. The Revenant (Alejandro G. Inarritu) https://t.co/yAvNE00UJ8 #Top50of2015 https://t.co/MepNkVySdM
21,#HughGlass would be so proud. #Revenant survives winter storm Jonas to win box office for first time. https://t.co/LrIjkBXQ5j via @usatoday
22,RT @AndreaMandell: .@bryalexand fact-checks: Who was the real Hugh Glass? https://t.co/XkEwq4IFHj #TheRevenant
23,RT @hollywordsgroup: #TheRevenant red carpet @DuaneE_Howard #ElkDog talking to @BryAlexand @USATODAY https://t.co/HbFnHtTXQ6
24,"RT @zaffi: The Revenant by Tarkovsky
https://t.co/KiuESZlklJ"
25,Watch This: 45-Min 'The Revenant' Making Of Doc - 'A World Unseen' https://t.co/pcDq7qbdBx https://t.co/94Wbx2K8gP
26,RT @SAGawards: .@LeoDicaprio takes home the SAG Award for Male Actor in a Leading Role! @RevenantMovie #TheRevenant #sagawards🎭 https://t.c…
27,"RT @alissamarie: The first Sunday at #Sundance: if you can make it through, you can probably star in The Revenant"
28,"RT @TheFilmStage: ""It was basically like The Revenant, but with no money."" - @TaikaWaititi on shooting Hunt for the Wilderpeople #Sundance"
29,"Recapping my Top 12 of 2015:
12. Diary of a Teenage Girl
11. Steve Jobs
10. Beasts of No Nation
9. The Martian
8. The Revenant
7. Sicario"
30,The bear (from The Revenant) speaks!! Great interview with a stunt actor. https://t.co/YEdx5LtWkT
31,"RT @christinalefou: The Revenant, Room, + Creed are all released today. If you're not at the movies this weekend, what are you even doing?"
32,"RT @Lons: Listen, I loved ""The Revenant,"" but funny is funny https://t.co/DxNSVH7MQM"
33,RT @akstanwyck: Tom Hardy deserves that Oscar nom not only for 'Revenant' but 'Legend' and 'Mad Max: Fury Road.' Actors respect him.
34,"RT @TomiLaffly: I'm also elated for the love around The Revenant. You can hate its ad/awards campaign all you want, but the film is extraor…"
35,"RT @NadiaNeophytou: 8 films up for Best Pic - The Big Short, Bridge of Spies, Brooklyn, Mad Max: Fury Road, The Martian, The Revenant, Room…"
36,RT @dilsexia: The Revenant https://t.co/2RRCpAA2yj
37,@AndrewLang The Revenant and Only God Forgives is a false opposition in my view. These are great films in my view - not your view I know
38,"RT @XanBrooks: Three Oscar heavyweights on this week's film show - &amp; that's just the critics (Also includes Revenant, Room &amp; Creed) https:/…"
39,My review of The Revenant (dir. Alejandro González Iñárritu) is up here: https://t.co/RvuBV4BPNC
40,".@catherineshoard excellent on The Revenant, The Force Awakens and the concept of a ""female friendly"" film https://t.co/s1kZL8O1ll"
41,"Three Oscar heavyweights on this week's film show - &amp; that's just the critics (Also includes Revenant, Room &amp; Creed) https://t.co/kZ2mt3La14"
42,"The Revenant, henceforth to be known as the film in which Leonardo DiCaprio isn't raped twice by a bear https://t.co/rqOdHDfO9q"
43,GRIZZLY MANN #RejectedTheRevenantReviewHeadlines
44,@AnneBillson It came about because one of the publicity shots for The Revenant reminded me of this. https://t.co/rUs4dxGO1m
45,Oscar frontrunner The Revenant is unleashed in UK cinemas tomorrow. Here's my review: https://t.co/gPnj7GGr6B https://t.co/GuR2rnqEqK
46,RT @Telegraph: The Revenant review: 'Leo's beautiful endurance test' https://t.co/3i6ifdDXhZ https://t.co/QTBsX6hqi5
47,"The Revenant is a preposterous dick-measuring exercise, but I was really kind of into it: https://t.co/gPnj7GGr6B https://t.co/XXGiBkFrbh"
48,@m_pattison the bear in The Revenant?
49,@AntBit The Revenant renders all previous DiCaprio performances irrevenant
50,@jessicakiang Does this Revenant Tasting Menu include horse meat?
51,"Hoping Chris Pine shows up tomorrow morn to begrudgingly affix ""or The Unexpected Virtue of Arrogance"" to each nomination for The Revenant."
52,@scott_tobias Rewatching The Revenant was my making The Revenant.
53,"Believe it or not, I don't hate The Revenant, but I did struggle on both viewings to take it as seriously as it insists on taking itself."
54,Honestly? The last shot of The Revenant made me laugh harder than anything in The Martian did. #GoldenGlobes
55,"RT @misterpatches: The Revenant is out wide today. It's a 2.5-hour version of dad's ""Back in my day, we walked barefoot..."" speech. https:/…"
56,@JacobSHall I'm not seeing The Revenant on here... (I also haven't clicked it yet.)
57,Tex Montana Will Survive! &gt; The Revenant
58,@scott_tobias @SamuelAAdams At least until I can snag the last shot from The Revenant.
59,What I would've given for The Revenant to end with the Curb Your Enthusiasm music...
60,"@lightscameraaus You watched Dead &amp; Buried and The Revenant back-to-back? Well done, sir."
61,@GuyLodge Runner-up: the final shot of The Revenant.
62,@kristapley And zero acknowledgment that The Revenant's release also loomed?
63,"The Revenant is like a feature-length version of SNL's ""Quien Es Mas Macho?"""
64,"The Revenant, or Bear with Me Here, or Fitz and the Tantrums, or Scar Wars: The Horse Aquakens: I like it more than I respect it? (1/?)"
65,"Wait, this Revenant bear nonsense necessitated *multiple* correction pieces?"
66,"RT @NewRepublic: REVIEW: Leonardo DiCaprio in Alejandro Iñárritu’s survival film ""The Revenant"" https://t.co/obJmwhidT9 @timgrierson https:…"
67,RT @finnhalligan: Read @TimGrierson's excellend 'The Revenant': Review - agreed on all points. | Reviews | Screen https://t.co/nZmZAFxvDR
68,"@davidlfear Yeah, I thought of ""Revenant"" more than a couple times during that movie. Also: ""Fury Road"" and ""City of Life and Death."""
69,"RT @JoyceCarolOates: Resting today after ordeal of ""Revenant.""  Surfeit of raw, bloody meat torn from bison carcass &amp; squirming fish devour…"
70,"Oh and if you haven't seen The Revenant just listen to yer grandpa's ""Back in my day we had to WALK uphill to school for TEN MILES of SNOW"""
71,"The Revenant is a movie and at 2 hours 36 minutes, it has to be the longest I've ever watched someone crawl on stage to accept an Oscar"
72,Why this year's #Oscars could be the most-watched in years: https://t.co/zjQF0hu7of #TheRevenant https://t.co/NiV2DTK7pi
73,"RT @MovieReviewsTop: The Revenant Movie, Review - Way Too Indie https://t.co/tAg2u0r0ML via @WayTooIndie https://t.co/ciQmIHhEUI"
74,Feast your eyes on this new trailer for Oscar contender @RevenantMovie! Watch it here - http://t.co/Ayk7oiJgLP http://t.co/GY4XEoDFNn
75,"RT @IWCriticwire: Dallas critics go for Spotlight, and The Revenant finally picks up some awards love: https://t.co/1vcOGxxxfn https://t.co…"
76,RT @IWCriticwire: The Revenant stuns and polarizes: First reactions to Leonardo DiCaprio’s wilderness odyssey: https://t.co/yGdJ99ZkxH http…
77,"So The Revenant looks good, but I was frequently bored, so distracted myself planning my ***** Revenant Tasting Menu. Nitrogen poaching FTW."
78,"... to see The Revenant, of course.  https://t.co/Cu0WZkLuIM"
79,"The Revenant: ""Hardy manages to make the monstrous emptiness of Fitzgerald quite empathetic"" NB @RevenantMovie https://t.co/3ERbLK7Ww9"
80,"The Revenant ★★★★½ ""Inarritu transcends the trappings of a mere survival revenge narrative"" NB @RevenantMovie https://t.co/3ERbLK7Ww9"
81,"RT @wellshwood: ""The Revenant"" delivers striking survivalist ethic, a knockout ""ride"" feeling, beyond-astonishing cinematography, yowsah-wo…"
82,"RT @wellshwood: ""The Revenant"" is an unflinchingly brutal, you-are-there, raw-element immersion like something you've never seen.  Forget w…"
83,https://t.co/Lcmcai3WBT Quote &amp; don't quote me on this. It's going to be @RevenantMovie for Best Picture and (finally) Best Actor. - E.L
84,Our #5. pick: Alejandro González Iñárritu's The Revenant - Prod: @SteveGolin @Kredmon1 Dist: @20thcenturyfox http://t.co/vUnvnPGpmu
85,@williambgoss @jhoffman The Revenant has nothing on that bear action.
86,@glenndunks @joereid @DSWalber @nathanielr @SamRS72 @RyanMcDermond Let's all just be happy that The Revenant didn't have an original song.
87,"Overheard in Soho House, LA: ""Have you seen The Revenant yet?"" ""No, I keep meaning to, but doesn't Leo eat a live pig in it or something?"""
88,"BRITISH/IRISH ACTOR OF THE YEAR: Tom Hardy, ""Legend,"" ""London Road,"" Mad Max: Fury Road"" and ""The Revenant"" #LondonCritics"
89,"@joereid And I still think it will ultimately get it, though The Revenant is giving me quite a scare."
90,"BEST PICTURE 
The Big Short 
Bridge of Spies
Brooklyn
Carol
Mad Max: Fury Road
The Martian
The Revenant
Room
Spotlight

(if 10: Inside Out)"
91,"BEST DIRECTOR
McKay, The Big Short
Miller, Mad Max: Fury Road
Scott, The Martian
Inarritu, The Revenant
McCarthy, Spotlight"
92,"BEST ACTOR
Cranston, Trumbo
Damon, The Martian
DiCaprio, The Revenant
Fassbender, Steve Jobs
Jordan, Creed"
93,"BEST CINEMATOGRAPHY
Carol  
The Hateful Eight 
Mad Max: Fury Road
The Revenant
Sicario"
94,"BEST SOUND MIXING
Bridge of Spies
Mad Max: Fury Road
The Martian
The Revenant
Star Wars: The Force Awakens"
95,"BEST SOUND EDITING
Mad Max: Fury Road
The Hateful Eight
The Martian
The Revenant
Star Wars: The Force Awakens"
96,"RT @joereid: Okay, but on the sliding scale where ""The Martian"" is a comedy, wouldn't you have to basically be ""The Revenant"" to qualify as…"
97,"RT @NicksFlickPicks: The Revenant (15, D+): DiPassion of DiCaprio. Utterly unilluminating at levels of story, character. Even the lensing d…"
98,@PaulRidd I wish she'd played the lead in The Revenant. Would have aced it.
99,"Best Film: Amy, Carol, 45 Years, Inside Out, Look of Silence, Mad Max: Fury Road, The Martian, The Revenant, Room, Spotlight. @londoncritics"
100,"@scott_tobias Substitute Jack London for Melville, and I'm surprised that *didn't* happen in The Revenant."
101,"@Al_Rob_1982 @DrewAtHitFix @kylebuchanan @AwardsCircuit @devincf @awards_watch The Revenant, but I wouldn't call myself a fan of either."
102,"Off to see THE REVENANT. It's still under embargo, but I don't think I'll be breaking any rules afterwards if I tweet, ""That's So Revenant."""
103,RT @davidehrlich: exclusive: CG bear from The Revenant responds to Drudge rape allegations https://t.co/S9p6PXxUzH
104,"@benfraserlee Savagely torn apart, by people otherwise too faint-hearted for The Revenant."
105,Prequel to The Revenant? https://t.co/kzb4ofXBk1
106,"@SRBraybrooke @SlateCultFest @RevenantMovie @KonMari_Method thank you! I am never crazy about hosting the show, glad it sounded good to you."
107,"RT @SlateCultFest: New episode! On @RevenantMovie, @KonMari_Method's Spark Joy, and profanity. https://t.co/DqTWHNVzwk"
108,"Watching Leo di Caprio struggle to recover from a bear mauling in The Revenant, I was reminded of me trying to file all my work before Xmas."
109,"DiCaprio excellent, cinematography ditto, but ""The Revenant"" could be the world's most expensive B movie. My review: https://t.co/Kobpf8JOWs"
110,Playing in the arctic Vikings-Seahawks game today is the sports equivalent of being in the cast of The Revenant.
111,"For those asking about my Top 10 and late screeners Joy, Revenant, and Hateful 8. I held open slots, saw em, and they didn't make the cut."
112,RT @EW: Here's what our own @ChrisNashawaty thought of Leonardo DiCaprio's #TheRevenant: https://t.co/rOYTwvk3BL https://t.co/SpAoO5fjnZ
113,"RT @ObsNewReview: Me, DiCaprio and the call of the wild: Alejandro González Iñárritu on his epic The Revenant https://t.co/iuTvsukoAI https…"
114,"@AnneBillson Sorry, confusing it with supernatural Western The Revenant Seven."
115,"RT @GuyLodge: BRITISH/IRISH ACTOR OF THE YEAR: Tom Hardy, ""Legend,"" ""London Road,"" Mad Max: Fury Road"" and ""The Revenant"" #LondonCritics"
116,"RT @muirkate: Robin Ince our host @londoncritics awards reviews The Revenant ""Bear Grylls meets It's A Knockout."" https://t.co/7eRwiXi4VK"
117,The Revenant #londoncritics
118,Tom Courtenay - 45 Years; Paul Dano - Love &amp; Mercy; Leonardo DiCaprio - The Revenant; Michael Fassbender - Steve Jobs; Tom Hardy - Legend
119,Supporting Actor of the Year - Benicio Del Toro - Sicario; Tom Hardy - The Revenant; Oscar Isaac - Ex Machina...
120,Andrew Haigh - 45 Years; Todd Haynes - Carol; Alejandro G Inarritu - The Revenant...
121,"""unlike anything to have come from the mainstream in recent memory"" The Revenant reviewed @thequietus https://t.co/35rwOJKZly"
122,"""like an amalgamation of John Ford, Ansel Adams, Lucio Fulci and Ray Mears."" Tim Cooke on The Revenant @thequietus https://t.co/35rwOJKZly"
123,"The Revenant is: ""brimming with mesmeric, unflinchingly real scenes"" according to Tim Cooke @thequietus https://t.co/35rwOJKZly"
124,"The Revenant is a: ""gloriously gory vision of survival and revenge"" according to Tim Cooke @thequietus https://t.co/35rwOJKZly"
125,"Tim Cooke has a devastating encounter with Alejandro González Iñárritu's The Revenant, in cinemas today @thequietus https://t.co/35rwOJKZly"
126,The Sound Of Breaking Glass: The Revenant Reviewed @thequietus https://t.co/35rwOJKZly
127,"For me, this was the most interesting character in The Revenant. https://t.co/vegDzYKcU4"
128,"Maybe it's just me, and I'm often wrong, but I thought The Revenant did everything to its story except understand it properly."
129,"Good grief, The Revenant is a slog: a big budget Bear Grylls with pretensions to Tarr and Malick. Want to watch Southern Comfort right now!"
130,Epic interview with 'The Revenant' production designer Jack Fisk.https://t.co/D1Wn3gsn1w
131,The Revenant is quite a thing. It’s like a kind of crazy art house superhero movie - intensely exciting/beautiful: https://t.co/Zgo78WFL9b
132,"Strongest category: 
Carol, Ed Lachman
Mad Max: Fury Road John Seale
Sicario Roger Deakins
Hateful Eight Robert Richardson
Revenant, Chivo"
133,"RT @foundasonfilm: Believe the hype: @RevenantMovie is a hypnotic, breathtaking work of pure cinema, and a bold reformulating of American f…"
134,RT @foundasonfilm: #TheRevenant is like an Anthony Mann western on mescaline. Human savagery and resilience against a majestic landscape. D…
135,The Revenant is Iñárritu's best film since Amores Perros. It's an incredible feat of cinema and could well be the big winner on Oscar night.
136,"The Revenant has taken Top prizes at the Golden Globes, including Best Film (drama), Director and Actor: https://t.co/uMw5cbz6Ds"
137,"BREAKING: Bridge of Spies and Carol lead 2016 BAFTA nominations with nine each. The Revenant gets eight, Mad Max: Fury Road has seven #bafta"
138,"2016 #BAFTA nominees for Best Film:
The Big Short
Bridge of Spies
Carol
The Revenant
Spotlight"
139,Early critical buzz on The Revenant is strong. Best Actor (DiCaprio) and Best Picture nominations likely.
140,"Anonymous Content CEO Steve Golin on The Revenant, a killer TV slate and awards ""bullshit"": http://t.co/wmAIG97O8N"
141,UK box-office. The Revenant knocks Star Wars: The Force Awakens off No. 1 spot. https://t.co/DvmPEWY52m https://t.co/lPHgGrln9q
142,"Stream soundtrack for #RevenantMovie - Ryuichi Sakamoto, Alva Noto &amp; Bryce Dessner - here: https://t.co/KiMvMm38NI https://t.co/T1XDawkCxO"
143,The Revenant is effectively a remake of Man in the Wilderness (1971) https://t.co/ztcNPw7IWU
144,"Tonight's @BBCFreeThinking has @lennyabrahamson on Rousseau &amp; Room; Stephen Woolley on Alan Rickman, Christopher Frayling on The Revenant."
145,"RT @PeterBradshaw1: .@catherineshoard excellent on The Revenant, The Force Awakens and the concept of a ""female friendly"" film https://t.co…"
146,"RT @nickmurftweets: The Revenant - the light, the pain, the bear, the movement, the lens selection, the tension, the flowing, chaotic actio…"
147,"RT @markromanek: Can we talk about the year of the great Domhnall Gleeson? Ex Machina, Brooklyn, The Revenant, and The Force Awakens. Amazi…"
148,Sat next to a 82-year-old woman at The Revenant last night who applauded at the end. #justsaying
149,Emmanuel Lubezki is a genius. #TheRevenant
150,The Revenant tonight.
151,Behold the glory that is The Revenant teaser trailer https://t.co/plNUW9b7KP
152,Just seen The Revenant. Unrelenting. Visceral. Shocking. And brilliant. Friend Susan hasn't grabbed my arm so often since The Woman in Black
153,RT @JWGarriock: What The Revenant says about the human desire for survival with $135 million Bela Tarr could with 30 takes and a bag of pot…
154,RT @srcorrespondent: Adrift in the Snow: The Revenant https://t.co/uXWrIE1flH #Movies @leonardmaltin reports https://t.co/5y7FXopLPo
155,"'The Revenant' is a long, unforgiving narrative, a relentlessly brutal saga of survival and revenge https://t.co/JYg9mwGSbj"
156,RT @srcorrespondent: Adrift in the Snow: The Revenant https://t.co/uXWrIE1flH #Movies @leonardmaltin reports https://t.co/UhEiOmdyW9
157,RT @Darren_Fewins: @KermodeMovie Still love this still from The Revenant https://t.co/c1GBDX3PTo
158,RT @ObsNewReview: .@KermodeMovie on Alejandro González Iñárritu's visceral The Revenant ★★★★ https://t.co/LDxDFBd7Xn https://t.co/3Cdr4oYB9O
159,"@wittertainment @GRichinger @BBCNews The Revenant was filmed in  Argentina, Canada, America and Mexico https://t.co/S8I00KMGWH"
160,"RT @wittertainment: Mark's top 5 films in UK cinemas: 

1. Room
2. Room
3. Room
4. The Revenant
5. Room"
161,"RT @wittertainment: Fancy a podcast with @LeoDiCaprio, @lennyabrahamson, @RevenantMovie, @RoomTheMovie &amp; @creedmovie? You're in luck: https…"
162,GRIZZLY MANN #RejectedTheRevenantReviewHeadlines
163,"RT @usatodaylife: Your 2016 Best Picture nominees:
The Martian
The Revenant
Room
Spotlight
The Big Short
Bridge of Spies
Brooklyn
Mad Max
#…"
164,"£2.25m for Creed, £5.5m for The Revenant this weekend according to box office soothsayer @ian_sandwell. Give him a follow, folks."
165,The Revenant has been compared to Heaven's Gate. Lol.
166,Best Picture nods ranked: Spotlight &gt; Room &gt; Brooklyn &gt; Bridge of Spies &gt; Fury Road &gt; The Big Short &gt; The Revenant &gt; The Martian. #OscarNoms
167,"Best Picture predictions: Big Short, Bridge of Spies, Brooklyn, Carol, Fury Road, Inside Out, The Martian, The Revenant, Spotlight."
168,"Still, it's more interesting than The Revenant."
169,Slow West &gt; The Hateful Eight &gt; The Revenant.
170,Problem with Leo winning Best Actor accolades for The Revenant is that almost everybody is better than him in it. Wrong actor for the part.
171,"#NowWatching The Revenant. [Exit, pursued by a bear]"
172,"The Revenant sounds like The Reverend, which in turn reminds me of The Bishop. This is how my mind works. https://t.co/v1vYWsWnIY"
173,Women can now vote in Saudi Arabia but they will still be prohibited from seeing The Revenant.
174,"What's more, if I find out that any of my female friends are planning to see The Revenant..."
175,Before The Revenant... https://t.co/zlXqvuFwKp
176,RT @LWLies: Read these passionate letters to The Revenant star Leonardo DiCaprio: https://t.co/8WZdnlJwoG https://t.co/WhcQjdtals
177,"The Revenant, but with Martin Short in the lead."
178,Enjoyed The Revenant well enough. A visceral exploitation movie.
179,"RT @TheWrap: 'Crimson Peak,' 'The Revenant,' 'Mad Max' Nominated by Art Directors Guild https://t.co/AB4KKneYUX https://t.co/gi3MNI6VoJ"
180,#WeMadeIt: Great insght into film #productiondesign from @RevenantMovie's #JackFisk https://t.co/dJkcbdJga2 https://t.co/7tMri99TnC
181,Fascinating interview with #JackFisk production designer on #TheRevenant https://t.co/cC25v9DrYK https://t.co/e8duNe5S8P
182,#Sixofthebest #Film: new @theartsdesk top half-dozen ★★★★★ @RevenantMovie &amp; @RoomTheMovie https://t.co/AUr6qh6yYs https://t.co/G45HYLyXMX
183,12 Oscar noms and 5★ from @SweetingAdam: survival epic The Revenant makes Labs of Hercules look like I'm a Celebrity https://t.co/twHrb4kBYZ
184,'Ambient music in its truest form' – brilliance from #Sakamoto on #TheRevenant OST @joemuggs https://t.co/dPVym5JdKF https://t.co/d4BwyKaPd6
185,@williambgoss @jhoffman The Revenant has nothing on that bear action.
186,@glenndunks @joereid @DSWalber @nathanielr @SamRS72 @RyanMcDermond Let's all just be happy that The Revenant didn't have an original song.
187,"Overheard in Soho House, LA: ""Have you seen The Revenant yet?"" ""No, I keep meaning to, but doesn't Leo eat a live pig in it or something?"""
188,"BRITISH/IRISH ACTOR OF THE YEAR: Tom Hardy, ""Legend,"" ""London Road,"" Mad Max: Fury Road"" and ""The Revenant"" #LondonCritics"
189,"@joereid And I still think it will ultimately get it, though The Revenant is giving me quite a scare."
190,"BEST PICTURE 
The Big Short 
Bridge of Spies
Brooklyn
Carol
Mad Max: Fury Road
The Martian
The Revenant
Room
Spotlight

(if 10: Inside Out)"
191,"BEST DIRECTOR
McKay, The Big Short
Miller, Mad Max: Fury Road
Scott, The Martian
Inarritu, The Revenant
McCarthy, Spotlight"
192,"BEST ACTOR
Cranston, Trumbo
Damon, The Martian
DiCaprio, The Revenant
Fassbender, Steve Jobs
Jordan, Creed"
193,"BEST CINEMATOGRAPHY
Carol  
The Hateful Eight 
Mad Max: Fury Road
The Revenant
Sicario"
194,"BEST SOUND MIXING
Bridge of Spies
Mad Max: Fury Road
The Martian
The Revenant
Star Wars: The Force Awakens"
195,"BEST SOUND EDITING
Mad Max: Fury Road
The Hateful Eight
The Martian
The Revenant
Star Wars: The Force Awakens"
196,"RT @joereid: Okay, but on the sliding scale where ""The Martian"" is a comedy, wouldn't you have to basically be ""The Revenant"" to qualify as…"
197,"RT @NicksFlickPicks: The Revenant (15, D+): DiPassion of DiCaprio. Utterly unilluminating at levels of story, character. Even the lensing d…"
198,@PaulRidd I wish she'd played the lead in The Revenant. Would have aced it.
199,"Best Film: Amy, Carol, 45 Years, Inside Out, Look of Silence, Mad Max: Fury Road, The Martian, The Revenant, Room, Spotlight. @londoncritics"
200,"@scott_tobias Substitute Jack London for Melville, and I'm surprised that *didn't* happen in The Revenant."
201,"@Al_Rob_1982 @DrewAtHitFix @kylebuchanan @AwardsCircuit @devincf @awards_watch The Revenant, but I wouldn't call myself a fan of either."
202,"Off to see THE REVENANT. It's still under embargo, but I don't think I'll be breaking any rules afterwards if I tweet, ""That's So Revenant."""
203,RT @davidehrlich: exclusive: CG bear from The Revenant responds to Drudge rape allegations https://t.co/S9p6PXxUzH
204,"@benfraserlee Savagely torn apart, by people otherwise too faint-hearted for The Revenant."
205,"‘Revenant’ poised for big Oscar night, minority controversy https://t.co/cXqU67IQRU"
206,‘The Revenant’ leads the pack at the Golden Globes https://t.co/63z6nNS8ZC
207,Revenant better win or I have to redo my lead.
208,"RT @sfchronicle: No, #LeonardoDiCaprio isn't sexually assaulted by a bear in #TheRevenant via @MickLaSalle  https://t.co/tQsNi1EIyH https:/…"
209,#TheRevenant an impressive director’s movie https://t.co/IJncWPCtYa via @sfchronicle
210,Is there animal cruelty in #Revenant or is it just CGI? Anyone find out anything on that? I looked at the AHA site but didn't see anything.
211,The rumor was #LeonardoDiCaprio is molested by a bear in #Revenant. Not true. That would have been PLEASANT compared to what really happens.
212,RT @AlbertBrooks: Am I the only one who was rooting for the bear in The Revenant?
213,"RT @robbiereviews: The Revenant is a preposterous dick-measuring exercise, but I was really kind of into it: https://t.co/gPnj7GGr6B https:…"
214,RT @nathanielr: We can’t let the smear campaign derail Judy’s chances! She is no rapist. #TheRevenant https://t.co/DkRjX0S6ns
215,My reaction to watching The Revenant is probably identical to Rooney Mara's reaction to being nominated
216,My journey to work today was essentially The Revenant but on the Victoria line
217,Creed &gt; The Revenant
218,"At no point in The Revenant does Leo aay ""Reve or nant, here I come"" and for me, the film is poorer for it"
219,Unpopular opinion: Joy &gt; The Hateful Eight &gt; The Revenant &gt; Spotlight
220,I want to fuck this review of The Revenant for mirroring exactly how I feel about it https://t.co/mKMLGAt3pV
221,"Last movie of BNAT is Star Wars: The Force Awakens! 

Naw, just kidding. It's The Revenant!"
222,"Oh yeah, there's a Revenant screening tonight. https://t.co/YWBF3mk24X"
223,"Friday Box Office: (1) Kung Fu Panda 3 $5.2mil (2) Hail, Caesar! $4.3 (3) The Choice $2.5 (4) Revenant $2.1 (5) Pride/Prejudice/Zombies $2.0"
224,Weekend Box Office: (1) Kung Fu Panda 3 $41.0mil (2) The Revenant $12.4 (3) Force Awakens $10.8 (4) Finest Hours $10.3 (5) Ride Along 2 $8.3
225,Friday Box Office: (1) Kung Fu Panda 3 $10.5mil (2) The Finest Hours $3.3 (3) The Revenant $3.2 (4) The Force Awakens $2.5 (5) The Boy $2.3
226,Weekend Box (1) Revenant $16.0mil (2) Force Awakens $14.3 (3) Ride Along2 $13.0 (4) Dirty Grandpa $11.5 (5) The Boy $11.3 (6) 5th Wave $10.7
227,Fri Box Office: (1) Revenant $4.6mil (2) Dirty Grandpa $4.2 (3) The Boy $3.9 (4) Ride Along 2 $3.7 (5) Force Awakens $3.5 (6) 5th Wave $3.5
228,Weekend Box Office: (1) Ride Along 2 $34.0mil (2) Revenant $29.5 (3) Force Awakens $25.1 (4) 13 Hours/Benghazi $16.0 (5) Daddy's Home $9.3
229,"The Revenant [76] https://t.co/PchfFuCsLQ Consequence of Sound: ""A cold, visceral, and overwhelming piece of cinema."""
230,Fri Box Office: (1) Ride Along 2 $12.0mil (2) The Revenant $9.3 (3) The Force Awakens $6.3 (4) 13 Hours/Benghazi $5.9 (5) Daddy's Home $2.5
231,"Oscar best pic nominees: The Big Short, Bridge of Spies, Brooklyn, Mad Max, The Martian, The Revenant, Room, Spotlight"
232,Weekend Box Office: (1) The Force Awakens $41.6mil (2) The Revenant $38.0 (3) Daddy's Home $15.0 (4) The Forest $13.1 (5) Sisters $7.2
233,Fri Box Office: (1) The Revenant $14.4mil (2) Star Wars: The Force Awakens $10.8 (3) The Forest $5.0 (4) Daddy's Home $4.2 (5) Sisters $2.3
234,"The Revenant [77] https://t.co/PchfFuCsLQ St. Louis P-D: ""The Revenant puts everything else playing at the multiplexes in the shade."""
235,"The Revenant [80] https://t.co/PchfFuCsLQ USA Today: ""The most intense thing you’ll enjoy over the holidays this side of family dinners."""
236,"The Revenant [79] https://t.co/PchfFuCsLQ Seattle Times: ""DiCaprio’s performance is an astonishing testament to his commitment to a role."""
237,"The Revenant [78] https://t.co/PchfFuCsLQ Guardian: ""As thrilling &amp; painful as a sheet of ice held to the skin."" TotalFilm: ""Astounding."""
