,Joy
97,Just looked up Joy (12A) on a site that helps you decide whether a film is suitable for kids. Under VIOLENCE/GORE... https://t.co/hQjS46HMYJ
98,RT @bfirobin: Today marks the 101st anniversary of the birth of the great British animator Joy Batchelor - http://t.co/Tab3eNOShA http://t.…
99,Last film of 2015: Joy. First film of 2016: The Assassin.
100,"@jamie_graham9 @samashurst Have to say, he's on a pretty amazing run at the moment. I think both Joyland and Mr M are up there with his best"
101,@jamie_graham9 @samashurst Nah. Joyland or Mr Mercedes.
102,@NickdeSemlyen Oh yes. I loved it. Have you read Joyland yet ?
103,RT @Aiannucci: A Happy and Joyous New Year to Everyone Apart from UKIP.
104,@grantfeller Does that apply to any of his films prior to Joy?
105,"@JonathanDean_ She &amp; my dad were disappointed with the con-trick stuff. 'Mum, Dad, it wasn't ABOUT that..' Hoping for better luck with Joy."
106,@JonathanDean_ Joy! Now there's funny. And great. Let's not do the American Hustle on this one.
107,Joyful Noise: Film Review http://t.co/6WlYcyjI
108,"RT @WateringEye: Thank you, @leonardmaltin, for your autographed movie guide and to @Kodak for the T-shirt, #Joy poster and $50 #Fandango m…"
109,'Joy' comes with impeccable credentials but its meandering nature leaves us feeling curiously unmoved https://t.co/jnOGmkCsuN
110,"#kodakmoviechat All the usual suspects: Miracle on 34th St., It's a Wonderful Life, A Christmas Story, and a great French film, Joyeux Noel"
111,"RT @brettdahlenburg: Re-watching ""Joyeux Noël"" on the recommendation of my friend @leonardmaltin &amp; his partner in crime @barvonblaq. #Merry…"
112,"RT @wittertainment: PODCAST in full effect featuring Eddie Redmayne, The Danish Girl, The Hateful Eight, Joy and more. Get it here https://…"
113,"Also, Bobby De Niro in 'good performance in substantial role' shocker. #Joy"
114,"Happy to sign myself up to #TeamJoy. Finally, O. Russell resists the urge to veer a story around like a drunken motorist and retains focus."
115,First film of 2016: Joy at @CentralPictureH.
116,RT @LCJReviews: Happy Birthday to my man Bradley Cooper. Wishing you Limitless Joy. https://t.co/9UqLRAWzvl
117,@jamie_graham9 @robbiereviews @JonathanDean_ I think Joy is about makin' movies. (I liked it too)
118,"@scott_tobias @cmasonwells The Joy Of Six, etc"
119,"RT @ChazEbert: My watchwords for 2016: #EmpathyKindnessCompassion. May I not forget them. Also, #PeaceJoyHappiness for balance. https://t.c…"
120,RT @ChazEbert: So many good movies to see today: #Concussion  #sonofsaul  #45Years #HatefulEight #Joy more https://t.co/4OIGxR5Kvg https://…
121,RT @ChazEbert: Other writers to follow: @moviemom @rosmance @JoyceKulhawik @ScottFilmCritic @KatherineTulich @flipcritic @popcornreel @This…
122,"RT @Margoandhow: @JoyceSHarris @ebertchicago Me, too. And ours in Cambridge is fairly new.
cc @ChazEbert"
123,RT @jntod: How James Joyce and Nora Barnacle kept in touch before text messages http://t.co/pJo1LKZFBE
124,"Exactly 35 years ago, Ian Curtis died. He wrote to Joy Division's manager, Rob Gretton, after recording Closer: http://t.co/9AJhAQaZN3"
125,CD: @SuedeHQ - #NightThoughts - 'a soundtrack that itches to be heard with its #visuals' https://t.co/hJoyXevJIJ https://t.co/OhAU6PREWw
126,Joyful Brahms with @SCOmusic and bracing principal conductor Robin Ticciati @theusherhall http://t.co/eNw1iRJcbk http://t.co/yEOPxVGjW1
127,"Even if it came as a result of ignoring category fraud, that Best Actress Oscar lineup is one of the best in ages. #TeamRampling #TeamJoy"
128,@koook160 Totally! #TeamJoy welcomes all.
129,"Rise up, #TeamJoy! This, I suspect, is our one night."
130,"BEST PICTURE (Musical or Comedy)
Will win: The Big Short
Should win: Joy"
131,"@nathanielr True that films are not always as comic as their stars, and vice versa. I buy Joy as comic more than https://t.co/MnGxIpYyTU."
132,"BEST ACTRESS (Musical/Comedy)
Will and should win: Jennifer Lawrence, Joy
(I admit that its comic classification is also debatable, but...)"
133,"@GuyLodge Mopping up the damage, observing the trickle effect, and thinking: What would Joy do?"
134,"@barkerrant You won't like to hear this, but we're all Generation Joy."
135,@awards_watch @NicksFlickPicks @joafrcaetano Agreed! I'm still mystified by how Joy has fizzled out.
136,"@TomiLaffly Yay, #TeamJoy gets ever more distinguished! Glad you're on it. I really can't fathom the hostile reception in some quarters."
137,#TeamJoy grows! Anyone else? https://t.co/ZrQq3L8PoR
138,@danslevin Did you put Joy at #1 on your list in return?
139,#TeamJoy
140,"Off to see my most anticipated movie of the holiday season!
...
...
...
(It's Joy, by the way.)"
141,@chipross That's so not right. And the wrong time to be mentioning David O. Russell when #Joy just laid an egg and #TheBigShort is terrific.
142,"*as enormous, maybe?
Fruit, twice?
What fruit? Pick a fruit, Joyce Carol Oates!
Comma after ""faint"" is non-grammar https://t.co/WKd9cV2Uzo"
143,Finally skimmed the 60-all-out Ashes innings. Joyful destruction. Broad's elation &amp; astonishment. One for the ages: https://t.co/VsSZugXJZb
144,"Campbell Scott to direct and star in Joan Didion's 'Book of Common Prayer': Joyce McKee, Rachel LeMin adapt Cent... http://t.co/gpzairn1"
145,Tribeca gives out art award: Brooklyn artist Joyce Pensato takes home De Niro Prize http://t.co/UQRrmLeW
146,RT @SodaPictures: Congratulations to Chris Foggin one of our Joy of Six directors who has been named a @Screendaily Star of Tomorrow http:/…
147,"RT @KenJennings: BEST MOVIES OF 2015 THAT ARE ALSO LADIES AT YOUR MOM'S OFFICE
1. Joy
2. Carol
3. Amy"
148,@GuyLodge @Variety Fuck yeah Joy
149,Unpopular opinion: Joy &gt; The Hateful Eight &gt; The Revenant &gt; Spotlight
150,Today's podcast has Joy and swearing and me and @catherineshoard https://t.co/Y6zhsyY42s
151,This is why I love Joy and why everyone who disagrees is a stupid bumhole: https://t.co/YAe7ptMtBc
152,"Embargo up, I really loved Joy. JLaw on top form, family scenes feel authentic &amp; it provides genuine soaring highs. One of the season's best"
153,Weekend Box Office: (1) Star Wars The Force Awakens $153.5mil (2) Daddy's Home $38.8 (3) Joy $17.5 (4) Sisters $13.9 (5) Chipmunks $12.7
154,Friday Box Office (1) Star Wars Force Awakens $49.3mil [$440 total] (2) Daddy's Home $15.7 (3) Joy $6.9 (4) Sisters $4.7 (5) Concussion $4.3
155,"Joy [56] https://t.co/jfkHWkjBOm Telegraph: ""Fewer outright belly laughs, but a more layered and involving emotional landscape."""
156,"#GoldenGlobes noms for best picture-comedy: The Big Short, Joy, The Martian, Spy, Trainwreck"
157,Early reviews for David O. Russell's Joy are surprisingly mixed: https://t.co/DSxx3UpP3N
158,"Film Friday: New trailers for Joy (David O Russell), The Revenant (Alejandro Iñárritu), Sisters (Fey/Poehler) &amp; more: http://t.co/C34dQM3F49"
159,"RT @steve7663: @TimeOutFilm Joy on big screen. Girlhood, Cartel Land, Winter Sleep, Famille Belier, Stoning of Soraya M, I am Love, Brief E…"
160,"RT @Carrie_Rachel: ""The Quick and the Dead"" is an all-time fave. Can't wait for this new book. The Misanthropic Genius of Joy Williams http…"
161,Best Actress In a Comedy Movie: Jennifer Lawrence in Joy ---&gt; https://t.co/WVxGCouYdH   #GoldenGlobes
162,"RT @AOLBUILD: ""By the way, Joy, you stole my look."" - @graedrake. @PixarInsideOut wins a #GoldenTomato for Best Animated Film! https://t.co…"
163,#JoyMovie is currently Rotten at 57% with 121 reviews ---&gt; https://t.co/YckHKyKvF6    🍅 #Tomatometer
164,"Check out the red carpet premieres of #JoyMovie, #ConcussionMovie, and #DaddysHome ---&gt; https://t.co/Bt8V4vWCbl https://t.co/3ltZPkTF0i"
165,#JoyMovie is currently Rotten at 59% with 105 reviews ---&gt; https://t.co/Pn7eYoR1Rc   🍅 #Tomatometer
166,"Critics Weigh In On #DaddysHome, #JoyMovie, #ConcussionMovie, and more ---&gt; https://t.co/wQbY3a4LdO https://t.co/3m72lDSFF9"
167,"Parental Guidance: How Family-Friendly Are Daddy's Home, Concussion, and Joy? ---&gt; https://t.co/AW5OX1KBzd https://t.co/Mt6u1Avsl9"
168,#JoyMovie is currently Fresh at 61% with 77 reviews ---&gt; https://t.co/wyHWQ3jnBN  🍅 #Tomatometer
169,#JoyMovie is currently Fresh at 61% with 59 reviews ---&gt; https://t.co/wyHWQ3AYtl 🍅 #Tomatometer
170,RT @MartinChilton: 'Ireland sober is Ireland stiff'. Marking the 75th anniversary of the death of #JamesJoyce https://t.co/tB9U5nEvnQ https…
171,"No Joy, no Sadness – here's what Inside Out looks like from the outside https://t.co/jh5rlVkmKY"
172,Joy review: 'Jennifer Lawrence cleans up again' https://t.co/niWs8NyAbj
173,"The new trailer for Joy, which stars Jennifer Lawrence and Bradley Cooper, is up here: http://t.co/59pddKUjUk"
174,Joy! Here's an exclusive clip from the utterly gorgeous Inside Out: http://t.co/XaSJVLXoM7 http://t.co/pEDViKVIQA
175,RT @ChrisRogers1138: My review of #JoyMovie for @FilmDigitalFix https://t.co/safCnmOXdw https://t.co/pVckcsdNco
176,#Joy: A muddled and superficial plot saved by extraordinary lead players https://t.co/ezV8xTdarO
177,RT @TalkingPicsTV: 11:25Stormy Crossing 1958 #JohnIreland #DerekBond #JoyWebster.Story  of a fateful cross channel swim @altfilmguide https…
178,"Having not seen Joy yet, I have no comment on this one. Except to say that Amy Schumer is fucking hilarious and I wanna date her."
179,"RT @latimesmovies: Joy Mangano, real-life inspiration of 'Joy,' has an empire based on mops and being outgoing https://t.co/IacgJoXf7o"
180,Golden Globes: Jennifer Lawrence wins actress in a musical or comedy motion picture for 'Joy' https://t.co/qnwADxTf16
181,RT @TIME: The true story behind the movie 'Joy' https://t.co/3Q2ceduZDA
182,"RT @latimesmovies: 'Daddy's Home,' 'Joy' find Christmas audiences, but 'Star Wars' continues its box office domination https://t.co/bMMAn8I…"
183,Diane Ladd sees kindred spirit in 'Joy' costar Jennifer Lawrence https://t.co/RGKbfnWrF5
184,RT @latimesmovies: 'Joy' has too many distractions to mop up https://t.co/WwV8L3c5DF
185,RT @latimesmovies: Oscar Watch: 'Joy' belongs to Jennifer Lawrence https://t.co/IWGe7kIT3u
186,Joy review – Jennifer Lawrence as QVC queen https://t.co/6jzQdUS1J0
187,David O Russell: ‘I relate to Joy – she manages a lot of commerce that is unforgiving and nasty’ https://t.co/T3xIJa69zV
188,Joy review – Jennifer Lawrence wipes the floor with all comers in mop boss biopic https://t.co/CqMBH4PcD4
189,David O Russell on Joy: 'If you're going to live a fairy tale you've got to go through the goblins' – video… https://t.co/N2an5Rxv3w
190,"Youth, Joy and Suffragette: nine films opening in Australia on Boxing Day https://t.co/X62taH89eK"
191,"The Guardian film show: Joy, In the Heart of the Sea and The Danish Girl – audio reviews https://t.co/wYNQJ0J6fl"
192,"The Guardian film show: Joy, In the Heart of the Sea and The Danish Girl – video reviews https://t.co/dodbROuWX5"
193,Joy – video review https://t.co/w3kRNten3s
194,Johnny Depp's dogs: Barnaby Joyce wins principled decision making award https://t.co/ucUQqcleJC
195,The 50 best films of 2015 in Australia: No 6 – Joy https://t.co/YjGz4dPZd0
196,"Trumbo and Steve Jobs boosted by SAG nominations, but Joy and Hateful Eight deflated https://t.co/rZ87AJNz5u"
197,"Oscars 2016: How The Revenant, Creed, Joy and more will factor into the race https://t.co/rkGza54MRj"
198,Joy to the world and Zoolander 2 offends – The Dailies podcast https://t.co/CbmjMzCqjY
199,The 50 best films of 2015 in the US: No 9 – Joy https://t.co/MT1nyZud0A
200,Joy review: Jennifer Lawrence cleans up in amiably messy mop biopic https://t.co/PJHbgxIn86
201,Miracle Mop biopic Joy: new trailer hints more mob drama than soap opera https://t.co/6AUHiWw8ck
202,RT @20CenturyFoxUK: Whatever it takes to get through the day... you got this. #JoyMovie https://t.co/tNb5H5tyfQ
203,Tune in to @BBC6Music NOW for latest #screen6 with #DavidoRussell @JoyTheMovie #JenniferLawrence
204,"Morning. Would be amazing if you could please listen to @BBC6Music 1pm today, my latest #screen6 special with @JoyTheMovie David O'Russell X"
205,RT @20CenturyFoxUK: “If you have a dream… you can make it happen.” Jennifer Lawrence on the real life inspiration behind #JoyMovie! https:/…
206,"RT @20CenturyFoxUK: In 2 days, watch the inspiring #JoyMovie starring Jennifer Lawrence, Robert De Niro and Bradley Cooper! https://t.co/MS…"
207,"RT @20CenturyFoxUK: ""Ordinary meets the extraordinary every single day."" Watch David O. Russell's #JoyMovie, in cinemas January 1! https://…"
208,Thank you Mr O'Russell for my early Xmas Present. @JoyTheMovie https://t.co/UwxDXq6Z3l
209,@shaundooley @JoyTheMovie @BBC6Music ah you will only get that on the soundtrack. She did is especially. Xxx
210,@shaundooley @JoyTheMovie wow. Thank you so so much sir. I'm a huge fan. Merry Christmas. Xxx
211,Off for my final instalment of the week with David O Russell @JoyTheMovie
212,"The A team back together. Cooper, Lawrence DeNiro and O'Russell. @JoyTheMovie  https://t.co/W6U6b3Jlbw"
213,"@followthelemur @Telegraph God no, Joy's even better"
214,"Joy, with Jennifer Lawrence, is two hours of exactly that. My review is up here: https://t.co/b24NS8l34W https://t.co/Pq55AeZ4rD"
215,@LaurieBea1 Please contact our team directly here: https://t.co/12BAMNJoyK Thank you!
216,The winner is... Jennifer Lawrence for #Joy https://t.co/pTwcdnYZzC #GoldenGlobes #IMDbGlobes https://t.co/a4Zk0u0qR9
217,#GoldenGlobe Nominees Trading Cards: #Joy https://t.co/m0WwcntZLy https://t.co/h7ifx63u6A
218,RT @boxofficemojo: Weekend #BoxOffice Estimates: '#StarWars' $153.5m; 'Daddy's Home' $38.8m; 'Joy' $17.5m https://t.co/UfOX7RTPl7 https://t…
219,RT @boxofficemojo: Christmas #BoxOffice Estimates: '#StarWars' $49.3m; 'Daddy's Home' $15.7m; 'Joy' $6.8m https://t.co/rZLEOH2kAX https://t…
220,"WATCH: Jennifer Lawrence and director David O'Russell discuss the metaphors and inspiration behind #JoyMovie
https://t.co/hf2d3kMMR1"
221,We're interviewing the cast of #Joy! Send your Q's now to #IMDbJoy  https://t.co/Favh4PrukQ https://t.co/97jnhMItzy
222,#GoldenGlobes shakeup: 'Joy' will compete for Best Comedy/Musical Picture https://t.co/RQDGrykDO7 https://t.co/kpvGaEZUFs
223,Jennifer Lawrence says ‘Joy’ is salute to ‘women who are unsung heroes’ https://t.co/wQuLobyzoC https://t.co/pWqZlfAwhO
224,Watch Jennifer Lawrence​ and Bradley Cooper​ in the new #Joy​ trailer: https://t.co/jmoIjbaOft https://t.co/ANvfpBHM2H
225,#GoldenGlobes shakeup: 'Joy' will compete for Best Drama Picture http://t.co/hni1TkqvB3 http://t.co/0OSTyS8OUh
226,"Excited, although scared, to see the film. How did everyone relax after shooting intense scenes all day? @C_Joyce3183 #IMDbAskCrimsonPeak"
227,How @JoyTheMovie production designer helped represent entrepreneur’s life https://t.co/JRVO26LTHj https://t.co/6leZ4X5eoz
228,"‘Grease Live’ Cast Talks New Song, ‘Joy and Exuberance’ of Ambitious Live Event https://t.co/oAQLCA9f8w"
229,'Joy' and 'Home' honored at faith-friendly movie event https://t.co/Hi8bjuvctY https://t.co/aSpFouGbu1
230,"Bradley Cooper's mom served as an ""unofficial consultant"" on @JoyTheMovie  https://t.co/stAPxHL2Il https://t.co/OYIwparl46"
231,Pinup pioneers: the first underwater photoshoot http://t.co/bvKksAglqR Joyous pictures – and the captions made me smile too
232,"Coming to Theaters: Women of Faith — An Amazing Joyful Journey: Women of Faith, the world’s largest producer o... https://t.co/fI7cVonksI"
233,"RT @NaveenDhaliwal: Joyce Mitchell, who helped two killers escape from upstate NY prison, says she was depressed and inmates took advantage…"
234,"Geri Halliwell, Tatum O'Neal, John Mayer, the Olson Twins, Vance Joy,  Ben Affleck, Justin Bieber, Lori Loughlin, Liam Payne,"
235,"I've got the latest whispers on: NBC TV, ABC TV, ESPN, ""Smash,"" Halle  Berry,Matt Lauer, Hugh Jacksman, Barbara Walters, Chris Martin, Joy"
236,"James Joyce @merrionhotel. ""And Gibraltar as a girl..."" Which movie and who quoted it? #theRetreatIreland http://t.co/8AgTWRUcq3"
237,"RT @JoyceCarolOates: It does seem that perhaps the elderly Harper Lee is being exploited; yet still. the ""sequel"" will be of interest to st…"
238,"RT @wgwgdotorg: @Noeltmanning &amp; @adamfilmfan1970 review several films including #Hateful8, Joy, The Revenant, Carol &amp; Concussion https://t.…"
239,#Joy is a comedy? And not #MadMax? #GoldenGlobes
240,RT @Variety: Video-Shopping Startup @Joyus Launches Slate of 12 Original Series https://t.co/cDV0UvaSwI
241,"On the air live with Today's nutritionist, @JoyBauer http://t.co/WTs1SFeRQA"
242,Interviewed Liam Neeson for a quality thriller with good acting:  The Grey.  Now about to check out Joyful Noise screening.
243,"Why Movie Stars Keep Working For David O. Russell, According To The Cast Of Joy - CINEMABLEND https://t.co/JTIWPynvLS via @cinemablend"
244,God Bless Ford for having fun with this. Harrison Ford Surprises Star Wars Fans In Joyous New Video https://t.co/rNnOmRUUdK via @cinemablend
245,RT @20thcenturyfox: Share #Joy this holiday. https://t.co/T2QGWqRhff
246,"Echoing both THE GODFATHER and (yes!) CITIZEN KANE, #JoyMovie is SENSATIONAL! #JenniferLawrence is beyond SUPERB! https://t.co/G1uGJw1Q6K"
247,YOU GO GIRL!!! #JenniferLawrence could score her SECOND Oscar for #JoyMovie -- WATCH the FANTASTIC new trailer HERE: https://t.co/GxJtn0sVDP
248,BOX OFFICE: @DisneyPixar #InsideOut comes in a close 2nd w/ $30.1m! Domestic total: $246.2m! #Joy http://t.co/1vllPpOSkF
249,"Movie B.S. with Bayer and Snider, Episode 291: ‘Joy,’ ‘The Revenant,’ ’45 Years,’ ‘Concussion,’ ‘Point Break,’… https://t.co/1napczC1Er"
