,Carol
17,@CarolineNorbury thanks for spreading the word.
18,"Alliance of Women Film Journalists' EDA Winners: 'Carol,' 'Mad Max,' Kristen Stewart and… https://t.co/c7cGcVtOvJ https://t.co/jhYjE37ywp"
19,"Alliance of Women Film Journalists' EDA Winners: 'Carol,' 'Mad Max,' Kristen Stewart and… https://t.co/J2XkklcjgD https://t.co/VRpZPBzyg6"
20,That was a bad scene they picked for Carol.
21,"RT @afterellen: We're thrilled for @PhyllisNagy, who wrote the incomparable @CarolMovie. #GoldenGlobes https://t.co/JpFGbKVBLv"
22,"Tonight I'd love to see: Mustang, Lily Tomlin, Caitriona Balfe, Transparent and Carol wins. #thatwouldmakemehappy"
23,Phyllis Nagy (Carol) and Emma Donoghue (Room) nominated for best adapted screenplay. #BAFTA2016
24,Carol is the only film nominated for best film that has female protagonists. #BAFTA2016
25,@themarina @akstanwyck Do you think Carol is going to get nominated?
26,Emma Donoghue is the only woman nominated for a scripter award for feature film for the novel and screenplay of Room. No Carol.
27,'Carol' Interview: Screenwriter Phyllis Nagy https://t.co/DTogj550NB
28,Making of 'Carol': Why It Took 60 Years to Film the Lesbian Love Story - Hollywood Reporter https://t.co/DOjSMnz0A1
29,The Case for Carol – Awards Daily https://t.co/hV00H55lvD
30,RT @katherinemonk: People say I don't give five star reviews... but they are so wrong. #Carol is a masterpiece. https://t.co/FW75EpXa3R htt…
31,Palm Springs Film Fest: 'Carol' Star Rooney Mara Set to Pick Up Another Honor - Hollywood Reporter https://t.co/IvW7gZwbOA
32,"Movies about women dominate both the film drama and comedy categories- Carol, Mad Max: Fury Road, Room, Joy, Spy, Trainwreck"
33,Carol star Rooney Mara to receive Cinema Vanguard Award at Santa Barbara Film Fest | https://t.co/JhxCYhmSAm https://t.co/ypjF9vFrhj
34,‘Carol’ and ‘Joy’ Production Designer Judy Becker On Period New York In 2 Films | Deadline https://t.co/umWZ6FgmQZ
35,Cate Blanchett Interview: On Oscar-Worthy Roles In ‘Carol’ &amp; ‘Truth’ | Deadline https://t.co/oppNpdNLtM
36,"'Carol' Sweeps NYFCC Awards, Saoirse Ronan and Kristen Stewart Also Recognized by Critics Group https://t.co/K2QNQOgRVI"
37,Carol Morley slams gender imbalance in film industry. Go @_CarolMorley  https://t.co/ZkZ484blSq
38,Liz Karlsen producer of @CarolMovie takes the stage to start off @WFTV_UK event.
39,Amazed to have co-hosted a party with @muirkate that had such amazing women including @AmmaAsante @_CarolMorley @SarahGavron @Gharavi (1/2)
40,"""Carol"" Sweeps NYFCC Awards, Saoirse Ronan and Kristen Stewart Also Recognized by Critics… https://t.co/M8Z5Kt4ZRZ https://t.co/ZYXN96JzMH"
41,"RT @washingtonpost: Carole King’s musical odyssey, from ""Tapestry"" to the Kennedy Center Honors https://t.co/vZoMajGTrG"
42,@CarolineNorbury @LotusHannon @CairoCannon Great event. Thanks for being a great partner. Let's do more!
43,@LotusHannon @CarolineNorbury @CairoCannon great to meet you.
44,Carol Morley Wins 2015 Wellcome Trust Screenwriting Fellowship https://t.co/iVnNCFSq7Z
45,@_CarolMorley - congrats. https://t.co/PONB0zcrXV
46,Carol Morley Wins 2015 Wellcome Trust Screenwriting Fellowship https://t.co/wbjgiQgBt8 https://t.co/G90QnboNBd
47,@PhyllisNagy on writing @CarolMovie https://t.co/IPLHt3uGBL
48,"Box Office: Carol - $203,076 i 4 locations. 2 week total - $588,355."
49,"Spirit Award Nods Announced: 'Carol,' 'Tangerine,' 'Diary of a Teenage Girl' and More https://t.co/g8ykiHMbeu https://t.co/VWhWGr7Xj1"
50,Listen: Women &amp; Hollywood Podcast #20: Producers Liz Karlsen and Christine Vachon on 'Carol' https://t.co/YiG3tPBEQz
51,Carol box office: 62 percent female. 60 percent of all ticket buyers were over the age of 50. #girlpower
52,"Box Office: Carol opened in 4 Theaters and grossed $248,149, with a per screen average of $62,037"
53,Listen: Women &amp; Hollywood Podcast #20: Producers Liz Karlsen and Christine Vachon on 'Carol' https://t.co/3fxXSruPt1 https://t.co/J62n4BHjNP
54,The gorgeous Carol opens today. Listen to my podcast with producers Liz Karlsen and Christine Vachon https://t.co/cy3kH28Svm
55,"Today is 1 of those days when I love my job. Had the pleasure of interviewing Liz Karlsen and Christine Vachon @kvpi, producers of Carol."
56,'Carol' Screenwriter Phyllis Nagy to Adapt Melanie Raabe's Murder Mystery 'The Trap' https://t.co/HIfQWZmeCr
57,RT @EW: Cate Blanchett and Rooney Mara smoke and smolder in this new clip from #Carol: https://t.co/MZbV2NZP74 https://t.co/Qe2WlSyJQs
58,'Carol' Screenwriter Phyllis Nagy to Adapt Melanie Raabe's Murder Mystery 'The Trap' https://t.co/Z3QiyQ90TB https://t.co/gqN91qJajA
59,@KatieGonzo @ifpfilm @CarolTheMovie @TangerineFilm @kvpi Glad you enjoyed it. I had a great time.
60,About to do a q and a with @kvpi aka Christine Vachon after a screening of Carol @ifpfilm
61,"RT @CarolMovie: A simmering performance from Cate Blanchett paints an alluring portrait of forbidden love. Carol, in theaters 11/20 https:/…"
62,RT @CarolJenkins: @monaeltahawy-- congrats for being honored by @womensmediacntr this week for outstanding work and courage! Well deserved.
63,Congrats @_CarolMorley  https://t.co/4DCC3vc3cm
64,"2015 Gotham Nominations: 'Diary of a Teenage Girl,' 'Carol,' 'Tangerine' Lead With Most Nods https://t.co/PFHk9SSGxj"
65,typical - imagine if we said ewww straight guys? let's keep that Carol drumbeat going. https://t.co/G6ir7oISI5
66,@MarcieBianco @PhyllisNagy is an amazing person and talented writer. Super excited to hear her on the award circuit this year for Carol.
67,"2015 Gotham Nominations: 'Diary of a Teenage Girl,' 'Carol,' 'Tangerine' Lead With Most Nods https://t.co/pe5yIqIie0 https://t.co/IfjkfhCbRa"
68,"Why isn't Carol the film to beat? More noms. @VanityFair headine: ""The Gotham Awards Just Confirmed Spotlight as the Oscar Front-Runner"""
69,"2015 Gotham Nominations: 'Diary of a Teenage Girl,' 'Carol,' 'Tangerine' Lead With Most Nods https://t.co/zIkGVCWgwo https://t.co/oNWeB1La7w"
70,"Carol gets 3 #Gotham nods: Best feature, best screenplay for Phyllis Nagy and best actress for Cate Blanchett."
71,"Awards season is here and for the first time I can recall movies about women dominate. Carol, Diary of a Teenage Girl, Tangerine"
72,"When do you see this kind of headline in award season? ""Gotham Awards Nominations: ‘Diary of a Teenage Girl,’ ‘Carol’ Lead the Pack"
73,http://t.co/MHXvmKDUif - 'The Audition' by Caroline Ryder. Desperate film director. Art by John Mann. http://t.co/5ZToKbhafU @NikkiFinke
74,RT @ChazEbert: Video interview of #CateBlanchett #RooneyMara &amp;  #ToddHaynes  re #Carol by @KatherineTulich: https://t.co/G0qePGpG3Y https:/…
75,"BEST DIRECTOR, Runner-up: Todd Haynes, ""Carol."""
76,"BEST PRODUCTION DESIGN, Runner-up: Judy Becker, ""Carol."""
77,"BEST MUSIC SCORE, Winner: Carter Burwell, ""Anomalisa"" and ""Carol."""
78,"BEST CINEMATOGRAPHY, Runner-up: Edward Lachman, ""Carol."""
79,"RT @SidGrauman: There's more screwball comedy at the Aero tomorrow, as William Powell &amp; Carole Lombard face off in MY MAN GODFREY. http://t…"
80,"Thank you again to member Myron Meisel, his wife Carol and daughter @lameisel for graciously hosting our awards voting meeting yesterday!"
81,"#CriticsChoice Best Movie Score: @CarolMovie, @thehatefuleight, @RevenantMovie, @SicarioMovie, and @SpotlightMovie https://t.co/cMY4KxxB8T"
82,"#CriticsChoice: @BlackMassMovie, @CarolMovie, @danishgirlmov, @thehatefuleight, @madmaxmovie, and @RevenantMovie https://t.co/6Itoi8lfvs"
83,"#CriticsChoice Best Costume Design: @CarolMovie, @CinderellaMovie, @danishgirlmov, @madmaxmovie, #BrooklynMovie https://t.co/DGY5HYEkFt"
84,"#CriticsChoice @CarolMovie, @thehatefuleight, @madmaxmovie, @MartianMovie, @RevenantMovie, @SicarioMovie https://t.co/70MMnQD1t0"
85,"#CriticsChoice @BridgeOfSpies, #BrooklynMovie, @CarolMovie, @danishgirlmov, @madmaxmovie, @MartianMovie https://t.co/fAW0QbdzYQ"
86,20. Carol (Todd Haynes) https://t.co/yAvNE00UJ8 #Top50of2015 https://t.co/QW1BcmnzuV
87,"#CarolBurnett gives tribute to #LucilleBall. Interesting point. ""She gave me a black tie baby shower with men attending."" #sagawards"
88,"#CarolBurnett backstge #sagawards. Praises more women in comedy. ""It's a beautiful t/way things hve changed, women are much more respected."""
89,#CarolBurnett received a rousing standing ovation as she stepped backstage with her #LifetimeAchievementAward. Chills. #sagawards
90,Great touch. #TinaFey and ##AmyPoehler will present #CarolBurnett her #LifeAchievementAward at the #SAGAwards Saturday.
91,"#NewYork based drama #Carol dominates #NewYorkFilmCriticsCircle Awards with four wins, incl. best pic https://t.co/n027Pg3dXx @usatodaylife"
92,@SatyaLoquacious Different tastes. Sicario is #7! The Big Short was awesome. Spotlight is great. Room and Carol are overrated IMHO.
93,RT @EDouglasWW: So that's eight BP nominations: no Straight Outta Compton or Carol and no Ridley Scott but Lenny Abrahamson for Room (well-…
94,"Just back from the Carol Service. As ever, Silent Night was marked ""choir only"". What's wrong with us singing it? https://t.co/v9nk15eyQp"
95,"""Love is the plot"" - Francine Prose on Carol in @nybooks https://t.co/eWDXXi9pjL"
96,RT @_CarolMorley: @PeterBradshaw1 @LatteThunder @nevpierce As Peter requested: https://t.co/SpP8AgkG7J
97,@_CarolMorley @LatteThunder @nevpierce I think this photo should be Carol's Christmas card
98,My review of Carol (dir. Todd Haynes) is up here: https://t.co/kLGXf8H1QU
99,"Look, I just don't have time to make a YouTube mashup of Brooklyn's Saoirse Ronan serving Carol's Cate Blanchett in a 50s department store"
100,@_CarolMorley This could be one for you... https://t.co/94aiYuME8X
101,@CyberTurtle365 @wearehiive @BFI I never get to see as much in the LFF as I want ... perhaps the best film there was Carol ... but I dunno!
102,Anita Sethi on @_CarolMorley's novel 7 Miles Out http://t.co/OeqegmFl4c
103,RT @muirkate: This was my holiday reading - bloody brilliant novel/memoir of Stockport childhood by @_CarolMorley. Out Sept. http://t.co/In…
104,.@_CarolMorley will be reading from her debut novel 7 Miles Out on Wednesday 9th September at @Foyles http://t.co/25kZGcARqU
105,RT @arthouseN8: DREAMS OF A LIFE dir by Carol Morley (The Falling) TONIGHT 8.30pm @KateHardie2 @_CarolMorley http://t.co/LFsF1yZkB9 http://…
106,"Carol shut out, Room let in. Swings &amp; roundabouts. https://t.co/zo7Nxxcisk"
107,"... Carol, London Rd, 45 Years, Inside Out, Inherent Vice (2/2)."
108,"This week's film show, covering superb Carol, ace Bridge of Spies, attention-seeking Black Mass. Award season cometh https://t.co/xY3Tm9Eu24"
109,"Interviewed Cate Blanchett for @guardianweekend. Her new film, Carol, is one of 2015's best https://t.co/17QljsJ0dW"
110,Todd Haynes's Carol: the greatest 1950s romance the two Hepburns (Katharine &amp; Audrey) never made. Burns like a flame. Loved it to bits.
111,"A Woman's Work series continues @arthouseN8 with the grt Carol Morley discussing pioneering, Oscar-winning Muriel Box http://t.co/ccTEXGODoB"
112,"""I barely even know what to order for lu -- "" [killed by arrow] #VersionsOfCarolThatWouldGetNominatedForBestPicture #Oscars"
113,"""I barely even know what to order for lunch."" ""How about RAW BISON LIVER?"" #VersionsOfCarolThatWouldGetNominatedForBestPicture #Oscars"
114,"We've been down this road before, alas. #Oscars #Carol https://t.co/eBGRb2pR5Z"
115,"RT @MarkHarrisNYC: ...AND just like that, the Producers Guild of America omits Carol and Room from its ten nominees. Bad call, guys (and I …"
116,RT @SamuelAAdams: A thought on Best Picture: Carol is too good for the Academy. Spotlight is just exactly the right amount of good.
117,"Caroling, Caroling, here we go ... #NYFCC"
118,"I was so certain this awards season's Inside Llewyn Davis/Inherent Vice was going to be Carol, I've only just twigged it's The Hateful Eight"
119,"And 5, obviously: @trim_obey on Carol: https://t.co/0e3nSgXxI3"
120,"Room beats Carol, Force Majeure, Girlhood and Son of Saul."
121,The Sight &amp; Sound poll ain't playin. Carol is one of the best films of the year. @trim_obey on a modern masterpiece https://t.co/0e3nSgXxI3
122,".@trim_obey's about to talk about Carol on @BBCFilm2015. I have a fire extinguisher standing by the television, just in case"
123,RT @annaleszkie: Carol / Ruth Orkin https://t.co/gqJs8B7mOY
124,RT @annaleszkie: Carol / Saul Leiter https://t.co/xT7RCzwBtG
125,Just horrible to think World War Three might start before Carol comes out :( https://t.co/ZE3GmDj6hR
126,"@MHarrison90 That's the one I suspect will falter. Carol will be smaller, but should make more per screen, if there's any justice"
127,"I mean my *God*, if there's a film with which to reacquaint yourself with the purr and glamour of 35mm projection, Carol is the one"
128,".@CentralPictureH is screening Carol on 35mm for two weeks, inc. a Todd Haynes Q&amp;A on the 24th. More of this please https://t.co/2VplkRDRrf"
129,"RT @XanBrooks: Interviewed Cate Blanchett for @guardianweekend. Her new film, Carol, is one of 2015's best https://t.co/17QljsJ0dW"
130,Kickstarter for a coffee table book of Carol tweets
131,"@AnnaEHiggs @SiRenshaw And you were likewise glimpsed! Such a fun night. Should be out again for Carol, if you're going?"
132,"@FilmFan1971 @charlesgant @pr10 @boydhilton For me, Carol and The Assassin are the two best films there. Very different, both essential"
133,"Personal picks from what I've already seen are The Assassin, Carol, The Assassin, The Assassin, Carol, The Assassin, Carol, Carol and Carol."
134,@E_Film_Blog It's currently jousting with Carol and The Assassin. A completely ridiculous top three
135,"@gambit_100 UK release-wise, Inside Out. But possibly better still are Carol and The Assassin."
136,@msicism I’d say it’s closer to 2/3 from her POV. We rarely see Carol without Therese—mostly when she’s talking to her lawyer.
137,Grantland was a fine site. I apologize if my tendency to sing its name to the tune of Carole King’s “Jazzman” hastened its demise.
138,"@CarolinWeidner You may not be able to dissociate this song from the Todd Haynes film after seeing it. At least, I can’t."
139,@CarolinWeidner Good luck! 😉
140,"@CarolinWeidner It takes a lot for a movie to disturb me, but this is genuinely one of the most unsettling movies I’ve ever seen."
141,@katerbland Buried in a bottle that washed up on a South Carolina beach at magic hour.
142,"RT @tedcruz: Wow, a cow made of butter. My girls would love it. In fact, the first sentence Caroline ever said was ""I like butter"" http://t…"
143,@GuyLodge Tell her to take it up with Carol Aird.
144,"""I'M JUST ASKING QUESTIONS HERE!"" -Cate Blanchett's character in Truth wondering why Carol didn't land a Best Picture nod"
145,"Having rewatched the equally impeccable Anomalisa and Carol, I think of Ebert re: how he chose btwn 3.5 and 4 stars. https://t.co/P3WdP50HLc"
146,"@tylermager @lightscameraaus 45 Years, Carol, Spotlight..."
147,"@danielwcarlson And enjoying both is mutually exclusive because...? In the case of Carol, you seem to be addressing a minority of reactions."
148,"Carol: say, I think them gals mighta been a little funny, you know? A bit peculiar."
149,Still my favorite Carol from Todd Haynes. http://t.co/bj5kPQj3h5
150,"RT @JoyceCarolOates: Resting today after ordeal of ""Revenant.""  Surfeit of raw, bloody meat torn from bison carcass &amp; squirming fish devour…"
151,"RT @JustinCChang: ""I barely even know what to order for lunch."" ""How about RAW BISON LIVER?"" #VersionsOfCarolThatWouldGetNominatedForBestPi…"
152,"The amputated foot film Finders Keepers makes me so proud of my home state North Carolina, y'all. @melenar's story:  http://t.co/f0Scg5xogA"
153,@gretchen_scott Blanchett is so great in her new film Carol too...
154,Manohla Dargis talks to Todd Haynes about Carol at #cannes2015  http://t.co/TzDYfeGfM3
155,Rooney Mara wins best actress at Cannes. I thought her performance in Carol (Todd Haynes) was by far her best work yet.
156,"On the Academy's @CarolMovie snub, arguably the biggest Oscars oversight of the century: https://t.co/VTB0vPSN9E https://t.co/aoHV85uXmg"
157,"Congrats @forbiddenroom, @dukeofburgundy &amp; @CarolMovie for making our Best Films of 2015! https://t.co/KdhsBCLtwi https://t.co/gl8j9UUNtt"
158,#CarolFilm is a love story that demonstrates the power of connection regardless of gender. http://t.co/tN0t3JRDwi http://t.co/tEnpzqPteB
159,RT @IWCriticwire: Critics Poll: Max Max cruises to victory; Category confusion takes a toll on Carol: https://t.co/yGyx0b3PHX https://t.co/…
160,RT @IWCriticwire: Carol sweeps New York Times critics Best Movies of 2015 lists: https://t.co/SUyGzl9R3I https://t.co/cQFo8Mq3Jj
161,"RT @IWCriticwire: Carol dominates @NYFCC awards, with Kristen Stewart and Michael Keaton as surprise winners: https://t.co/IELrIPXCqC https…"
162,"RT @IWCriticwire: New York Film Critics Circle winners so far: Kristen Stewart, Saorise Ronan, Mark Rylance, Inside Out, Carol. https://t.c…"
163,"@CariTorfano Hola, Carolina! Thanks for following me on Twitter!"
164,"@Gayer_Than_Thou She's all ""haw haw, take THAT Carol Brady!"" #TCMParty #PointBreak"
165,"Love Carol, but it doesn't need it. Love Assassin but it needs it too much. So I'm Palmeteam Lobster, ftr. Unlikely perhaps, but it's my jam"
166,Almost certainly no hidden AVENGERS 2 easter eggs in this Carol Reed appreciation. ALMOST. http://t.co/U8ZHRtZrB1 http://t.co/OpFHK1sVXa
167,Feeling the chiming love that only comes from writing a couple thou words on Carol Reed: http://t.co/U8ZHRtZrB1 http://t.co/xZuGRPQdyW
168,"I'm in the middle of watching Carol....and my stomach says ""you can leave now or else this… https://t.co/2RjxQILujJ"
169,Ararat in Ouarzazate.... Atom Egoyan et Caroline Havernas @ Ouarzazate Maroc https://t.co/fV5vuvJHmY
170,"Carol - remarkable Cate Blanchett perf: ""Ravishing, she’s an actress that we easily believe hails from the period"" https://t.co/lEaxV7pTh6"
171,"""Diary of a Teenage Girl"" &amp; ""Carol"" Lead 2015 Gotham Award Noms https://t.co/7dS6tvLWOa"
172,"Cannes Critics Panel Predictions: ""Carol"" Leads ""Son of Saul"" &amp; ""The Assassin"" for Palme d'Or Win #cannes2015 http://t.co/JrBNaQGBGq"
173,"2015 Cannes Critics Panel: Todd Haynes' ""Carol"" is Our Top Graded Film http://t.co/2rXazXhGeQ"
174,"2015 Cannes Critics Panel Day 4: Rousing, Tender, Homo...geneous Response to Haynes' ""Carol"" http://t.co/zK189VU0p8"
175,"#Carol ""Haynes has constructed a tightly wound ball of desire that is never given the opportunity to unravel"" NB http://t.co/lEaxV7pTh6"
176,"RT @JigsawLounge: PALME
3-1 Hou: The Assassin
7-2 Nemes: Son of Saul
4-1 Haynes: Carol
8-1 Audiard: Dheepan
9s Trier: Louder Than Bombs
htt…"
177,"RT @JigsawLounge: 2-1 Cate Blanchett (Carol)
6-1 Margherita Buy (My Mother)
6-1 any (or several) from Our Little Sister
8-1 Emily Blunt (Si…"
178,@wellshwood So no Palme d'Or chances for Carol?
179,"""Despite...musical &amp; editorial missteps, I Am Big Bird: The Caroll Spinney Story remains a warm..light chronicle"" http://t.co/Xw8b25LeVr"
180,"So I'm guessing... A Most Violent Year is joining Herzog in Telluride, Malick is Venice and eventually #TIFF, and Carol isn't ready?"
181,"TECHNICAL ACHIEVEMENT AWARD: Ed Lachman, cinematography, ""Carol"" #LondonCritics"
182,Tonight: @LondonCritics Awards @TheMayFairHotel. What's our film of 2015? Carol? Mad Max? 45 Years? Nominees here: https://t.co/36HFi3rwGp
183,"RT @JustinCChang: ""I barely even know what to order for lunch."" ""How about RAW BISON LIVER?"" #VersionsOfCarolThatWouldGetNominatedForBestPi…"
184,"RT @PhyllisNagy: 4 female screenwriter noms; 6 noms overall for Carol... let's celebrate that, please. Progress always comes in fits and st…"
185,"Time for another poll: you knew this was coming. What was today's most egregious Oscar snub? (BESIDES Carol, duh.)"
186,"RT @JustinCChang: We've been down this road before, alas. #Oscars #Carol https://t.co/eBGRb2pR5Z"
187,"RT @CasparSalmon: Oscar best film predictions: Cemetery of Splendour, Carol, Mia Madre, Eastern Boys and Arabian Nights. Mia Madre to win."
188,"BEST PICTURE 
The Big Short 
Bridge of Spies
Brooklyn
Carol
Mad Max: Fury Road
The Martian
The Revenant
Room
Spotlight

(if 10: Inside Out)"
189,"BEST ACTRESS
Cate Blanchett, Carol
Brie Larson, Room
Charlotte Rampling, 45 Years
Saoirse Ronan, Brooklyn
Alicia Vikander, The Danish Girl"
190,"BEST SUPPORTING ACTRESS
Joan Allen, Room
Rooney Mara, Carol
Alicia Vikander, Ex Machina
Julie Walters, Brooklyn
Kate Winslet, Steve Jobs"
191,"BEST ADAPTED SCREENPLAY
Anomalisa
The Big Short
Brooklyn
Carol  
Room"
192,"BEST CINEMATOGRAPHY
Carol  
The Hateful Eight 
Mad Max: Fury Road
The Revenant
Sicario"
193,"BEST COSTUME DESIGN
Brooklyn
Carol 
Cinderella
The Danish Girl
Far From the Madding Crowd"
194,"BEST ORIGINAL SCORE
Carol 
The Danish Girl
The Hateful Eight
Sicario
Star Wars: The Force Awakens"
195,"@_rosagrimm @middleclassprob No, it's Carol life. Or should be."
196,"@FilmFanatic85 I like Brooklyn very much, but as filmmaking, I think Carol is on a different plane. One of my two favourite films of 2015."
197,"BEST PICTURE (Drama)
Will win: Spotlight
Should win: Carol 
Should tie with Carol because oh my god why choose between them: 45 Years"
198,"BEST DIRECTOR
Will win: George Miller, Mad Max: Fury Road
Should win: Todd Haynes, Carol"
199,"BEST ACTRESS (Drama)
Will win: Saoirse Ronan, Brooklyn
Should win: Rooney Mara, Carol 
Should *really* win: Charlotte Rampling, duh"
200,"BEST ORIGINAL SCORE
Will and should win: Carter Burwell, Carol"
201,"@Miss_Madley Given that he's been the most vocal champion of Carol in the critical community, I think he likes women just fine."
202,"@awards_watch @NicksFlickPicks @joafrcaetano I'd rather Carol was there too, but Ex Machina's a daring and stimulating choice for the PGA."
203,@davidehrlich @daveyjenkins I'm surprised you're turning a blind eye to the non-inclusion of Carol.
204,@misterpatches It's true that Carol does not belong in the same category as Happiness. He's got us there.
205,"It's a shame CAROL isn't set seven years later, when this could be the record Therese gives Carol for Christmas. https://t.co/sb2hK5VY2G"
206,"@ben1283 Carol: ""ONE train set, please. Just one!"""
207,@kateyrich J. Crew could make a real killing with The Carol Collection. Limited edition only.
208,"@Glenn__Kenny @SamuelAAdams If you promise to put Carol at #1 on your list, does Todd Haynes send you private on-set photos?"
209,@Glenn__Kenny @SamuelAAdams A friend who works for the UK distributor gave me a Carol tote bag. I didn't realise I was being bribed.
210,"@SzczesnyOnTour Carol, Arabian Nights, The Lobster, The Treasure, Disorder, My Golden Days, Macbeth, Mad Max..."
211,"Best Film: Amy, Carol, 45 Years, Inside Out, Look of Silence, Mad Max: Fury Road, The Martian, The Revenant, Room, Spotlight. @londoncritics"
212,"@davidehrlich One acting win, David. Much as I love Rooney Mara in Carol, I don't want to see her win in the wrong category."
213,What if Ross Geller and Harge Aird were the same person? The Carol connection — it checks out.
214,"RT @Nonohnoh: @indiewendy This made me think of u &amp; not just bc ""Mitchells had been active in North Carolina since the 1750s""... https://t.…"
215,No Palme d'or for Carol?? That's okay maybe Oscar-bound! #Cannes2015
216,RT @lizziefrancke: Fem power on 2 stages tonight - BFI &amp; ITV. Proud to be with   @AmmaAsante @indiewendy @_CarolMorley.Thanks @filmnickjame…
217,Excited to join esteemed panel of @filmnickjames @_CarolMorley @lizziefrancke to talk about British Cinema on April 2 http://t.co/C9uCRDqpyr
218,"@BluTarp I know. : ( @hujane &amp; I wanted to do Carol together, but the podcast lost its producer last year &amp; is, at least for now, on hiatus."
219,"@BilgeEbiri Carol wears fur, sure--but does she have the guts to put on the _whole animal_?"
220,RT @DavidPoland: By the movie or your date?  RT @thehighsign: I only advise you to go see Carol if you’re in the mood to be ravished. https…
221,"Thanks, Bryan! Yes, I only advise you to go see Carol if you're in the mood to be ravished. https://t.co/OFga2BMUOX https://t.co/86Q7JPVosZ"
222,"RT @frankrichny: My new @NYMag piece on Todd Haynes' mesmerizing “Carol,” Patricia Highsmith, and lesbian culture’s hidden history. https:/…"
223,"@sayanroy Stuff that's in theaters right now? Well, I really liked Crimson Peak https://t.co/aPOM7crSn0 For upcoming movies, Carol is great."
224,@QueenColleen85 Wait till I've seen both (or either!) for an answer. I can say that I love Todd Haynes' work &amp; I'm super-excited for Carol.
225,"@mimbale @bybowes Just don't make me be the first to popularize the new terminology. Carole King =&gt; ""You make me feel like a natal woman..."""
226,RT @dankois: Hellooooo Carolina! @Slate's parenting podcast LIVE in Durham feat. me @abenedikt @MacMerge http://t.co/UkryJbhhsV http://t.co…
227,"Immerse yourself in ""Carol's"" lush filmmaking and superb acting. What a treat. My review:
https://t.co/DGfnHtwHzG"
228,"@filmfest_ca No single favorite. Points to Inside Out, Son of Saul, Carol, My Golden Days, Amy, The Assassin. A surprising amount to like."
229,RT @Lisa_See: Carolyn See retires from Book World http://t.co/QMY0JEHuZs via @washingtonpost
230,"Bob &amp; Carol &amp; Ted &amp; Lice
#OneLetterOffMovies 
@tarapersaud @eggsbened @msannapicard @hugh_canning"
231,"Carol
Quietly stunning cinema in which a director trusts his screenwriter who trusts her actors to grip audiences with understatement. GO."
232,"RT @frankrichny: My new @NYMag piece on Todd Haynes' mesmerizing “Carol,” Patricia Highsmith, and lesbian culture’s hidden history. https:/…"
233,"@GuyLodge
US Carol poster sets up tension you want to see resolved: 
UK one looks like a question answered so you needn't bother going."
234,@barbjungr Complete the following well-known name: Carole K---  (x)
235,"RT @Film4Insider: ""Cinema at its most intoxicating &amp; immaculate."" @ClareStewartBFI on Film4-backed Carol, #LFF's American Express gala. htt…"
236,"RT @StudioCanalUK: Academy-Award winner Cate Blanchett and Cannes Best Actress Rooney Mara star in #Carol in cinemas November 27
https://t.…"
237,"Carolina=Hot Knife;
Seattle=Butter"
238,RT @EW: Our @ChrisNashawaty's review of the achingly exquisite 'Carol': https://t.co/9L520a579u https://t.co/xhtj13NqIL
239,"RT @JustinCChang: ""I barely even know what to order for lunch."" ""How about RAW BISON LIVER?"" #VersionsOfCarolThatWouldGetNominatedForBestPi…"
240,"RT @JoyceCarolOates: Donald Trump is the Jeff Koons of US politics; or is Jeff Koons the Donald Trump of US ""art world""--?"
